2012-05-10T01:16:12.200615+00:00,sim128[28088]:,disconnect,4,216.113.83.252,jerped
2012-05-10T01:16:12.200651+00:00,sim128[28088]:,disconnect,6,187.78.94.95,Client#6
2012-05-10T01:16:12.200807+00:00,sim128[28088]:,disconnect,7,187.78.94.95,Client#6
2012-05-10T01:16:20.202958+00:00,sim128[28088]:,connect,8,77.184.69.102,Megachip
2012-05-10T01:20:56.519834+00:00,sim128[28088]:,connect,4,77.184.69.102,Megachip
2012-05-10T01:25:12.573829+00:00,sim128[28088]:,disconnect,4,77.184.69.102,Megachip
2012-05-10T01:25:12.573864+00:00,sim128[28088]:,disconnect,8,77.184.69.102,Megachip
2012-05-10T02:55:43.234114+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T03:27:32.304592+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T03:34:14.837083+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T03:35:25.007190+00:00,sim128[28088]:,connect,8,220.245.52.25,Client#16
2012-05-10T03:41:00.985493+00:00,sim128[28088]:,connect,9,220.245.52.25,Client#16
2012-05-10T03:49:58.513152+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T03:49:58.513338+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T03:49:58.513606+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T03:49:58.513866+00:00,sim128[28088]:,disconnect,8,220.245.52.25,Client#16
2012-05-10T03:49:58.514100+00:00,sim128[28088]:,disconnect,9,220.245.52.25,Client#16
2012-05-10T03:50:18.958052+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T04:27:45.623441+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T04:27:59.767278+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T04:31:19.459094+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T04:31:40.087175+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T04:32:05.659520+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T04:32:18.762377+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T07:28:49.597386+00:00,sim128[28088]:,connect,4,83.196.13.109,Client#4
2012-05-10T07:31:51.334554+00:00,sim128[28088]:,disconnect,4,83.196.13.109,Client#4
2012-05-10T07:31:51.334579+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T07:32:01.147829+00:00,sim128[28088]:,connect,7,83.196.13.109,Client#7
2012-05-10T09:48:25.332650+00:00,sim128[28088]:,disconnect,7,83.196.13.109,Client#7
2012-05-10T09:48:44.216391+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T09:51:08.992565+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T09:51:24.411688+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T09:58:34.924039+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T09:58:48.127756+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T10:01:59.035421+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T10:02:16.674777+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T10:04:08.840464+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T10:05:26.403442+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T10:07:44.578952+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T10:07:44.579206+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T10:07:44.579450+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T10:08:03.053177+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T10:09:56.202762+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T10:10:09.338299+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T10:13:57.349596+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T12:20:06.043940+00:00,sim128[28088]:,connect,4,85.53.213.17,Client#7
2012-05-10T14:09:44.482102+00:00,sim128[28088]:,disconnect,4,85.53.213.17,Client#7
2012-05-10T14:09:57.952555+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T14:13:30.577171+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T14:27:44.729580+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T14:27:44.729621+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T14:27:58.104315+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T14:28:24.494904+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
