2012-05-14T00:03:43.434203+00:00,sim128[28088]:,disconnect,6,187.56.247.59,Client#6
2012-05-14T00:03:43.434562+00:00,sim128[28088]:,disconnect,7,187.2.27.19,Client#7
2012-05-14T00:03:52.837121+00:00,sim128[28088]:,connect,8,0.0.0.0,err404
2012-05-14T06:07:51.615911+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
2012-05-14T06:09:28.691764+00:00,sim128[28088]:,connect,7,85.216.243.188,Client#8
2012-05-14T06:09:28.861145+00:00,sim128[28088]:,disconnect,8,0.0.0.0,err404
2012-05-14T06:40:39.145626+00:00,sim128[28088]:,disconnect,6,85.216.238.158,Client#11
2012-05-14T09:55:09.541047+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
2012-05-14T10:28:24.871959+00:00,sim128[28088]:,disconnect,7,85.216.243.188,Client#8
2012-05-14T11:28:36.711532+00:00,sim128[28088]:,disconnect,6,85.216.238.158,Client#11
2012-05-14T11:32:33.357448+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
2012-05-14T11:34:49.364849+00:00,sim128[28088]:,connect,7,78.152.253.110,Irish_Pat
2012-05-14T11:38:54.338742+00:00,sim128[28088]:,disconnect,7,78.152.253.110,Irish_Pat
2012-05-14T12:08:18.256185+00:00,sim128[28088]:,disconnect,6,85.216.238.158,Client#11
2012-05-14T12:08:25.906417+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T13:04:57.467066+00:00,sim128[28088]:,connect,6,85.53.193.102,Client#7
2012-05-14T14:05:04.574152+00:00,sim128[28088]:,connect,8,91.66.148.202,Client#8
2012-05-14T14:23:22.001035+00:00,sim128[28088]:,disconnect,6,85.53.193.102,Client#7
2012-05-14T14:23:22.001177+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T14:23:22.001320+00:00,sim128[28088]:,disconnect,8,91.66.148.202,Client#8
2012-05-14T14:23:29.693877+00:00,sim128[28088]:,connect,9,85.216.238.158,Client#11
2012-05-14T14:30:07.530149+00:00,sim128[28088]:,connect,6,88.247.108.211,Plaw
2012-05-14T14:31:57.623831+00:00,sim128[28088]:,disconnect,9,85.216.238.158,Client#11
2012-05-14T14:32:10.127462+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T15:17:39.609710+00:00,sim128[28088]:,connect,8,62.197.226.121,playeronesvk
2012-05-14T15:17:39.802835+00:00,sim128[28088]:,disconnect,6,88.247.108.211,Plaw
2012-05-14T15:19:53.024897+00:00,sim128[28088]:,disconnect,8,62.197.226.121,playeronesvk
2012-05-14T15:37:09.047883+00:00,sim128[28088]:,connect,6,85.53.193.102,Client#7
2012-05-14T15:53:35.259733+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T15:53:51.181278+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T15:59:12.033816+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T15:59:25.191596+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T16:21:36.567336+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T16:21:48.520341+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T16:23:50.613839+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T16:24:04.620982+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T16:30:19.872762+00:00,sim128[28088]:,connect,8,85.216.243.188,Client#8
2012-05-14T16:35:31.562588+00:00,sim128[28088]:,disconnect,6,85.53.193.102,Client#7
2012-05-14T16:43:55.569031+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T16:47:41.525658+00:00,sim128[28088]:,connect,6,85.53.193.102,Client#7
2012-05-14T16:50:56.339024+00:00,sim128[28088]:,disconnect,8,85.216.243.188,Client#8
2012-05-14T17:04:57.065915+00:00,sim128[28088]:,connect,7,85.216.243.188,Client#8
2012-05-14T17:23:02.712899+00:00,sim128[28088]:,connect,8,85.216.238.158,Client#11
2012-05-14T17:24:48.168770+00:00,sim128[28088]:,disconnect,8,85.216.238.158,Client#11
2012-05-14T17:25:00.812788+00:00,sim128[28088]:,connect,8,85.216.238.158,Client#11
2012-05-14T17:26:32.746925+00:00,sim128[28088]:,disconnect,6,85.53.193.102,Client#7
2012-05-14T17:33:48.585311+00:00,sim128[28088]:,disconnect,7,85.216.243.188,Client#8
2012-05-14T17:34:00.645399+00:00,sim128[28088]:,connect,6,85.216.243.188,Client#8
2012-05-14T17:41:44.575761+00:00,sim128[28088]:,disconnect,8,85.216.238.158,Client#11
2012-05-14T17:55:29.397571+00:00,sim128[28088]:,connect,7,85.53.193.102,Client#7
2012-05-14T17:57:49.331733+00:00,sim128[28088]:,disconnect,6,85.216.243.188,Client#8
2012-05-14T17:58:03.784339+00:00,sim128[28088]:,connect,6,85.216.243.188,Client#8
2012-05-14T18:13:21.436971+00:00,sim128[28088]:,disconnect,7,85.53.193.102,Client#7
2012-05-14T18:13:38.918804+00:00,sim128[28088]:,connect,7,85.53.193.102,Client#7
2012-05-14T18:15:49.249158+00:00,sim128[28088]:,disconnect,6,85.216.243.188,Client#8
2012-05-14T18:16:02.944380+00:00,sim128[28088]:,connect,6,85.216.243.188,Client#8
2012-05-14T18:17:00.479015+00:00,sim128[28088]:,disconnect,7,85.53.193.102,Client#7
2012-05-14T18:25:12.947260+00:00,sim128[28088]:,connect,7,79.207.140.242,Client#9
2012-05-14T18:27:52.860715+00:00,sim128[28088]:,connect,8,85.53.193.102,Client#7
2012-05-14T18:29:53.640986+00:00,sim128[28088]:,disconnect,7,79.207.140.242,Client#9
2012-05-14T18:42:26.274275+00:00,sim128[28088]:,disconnect,8,85.53.193.102,Client#7
2012-05-14T19:46:45.487370+00:00,sim128[28088]:,disconnect,6,85.216.243.188,Client#8
2012-05-14T19:46:53.198926+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T20:03:09.246037+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
2012-05-14T20:23:57.702555+00:00,sim128[28088]:,connect,8,85.216.238.158,Client#11
2012-05-14T20:26:01.645144+00:00,sim128[28088]:,connect,9,94.113.29.230,Client#7
2012-05-14T20:26:01.921625+00:00,sim128[28088]:,disconnect,6,85.216.238.158,Client#11
2012-05-14T20:26:01.921902+00:00,sim128[28088]:,disconnect,7,85.216.238.158,Client#11
2012-05-14T20:26:38.101595+00:00,sim128[28088]:,disconnect,9,94.113.29.230,Client#7
2012-05-14T20:55:57.023626+00:00,sim128[28088]:,connect,6,85.53.193.102,Client#7
2012-05-14T21:31:21.690275+00:00,sim128[28088]:,disconnect,6,85.53.193.102,Client#7
2012-05-14T22:34:51.809230+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
2012-05-14T23:12:28.169140+00:00,sim128[28088]:,disconnect,6,85.216.238.158,Client#11
2012-05-14T23:12:28.169525+00:00,sim128[28088]:,disconnect,8,85.216.238.158,Client#11
2012-05-14T23:12:38.138094+00:00,sim128[28088]:,connect,7,85.216.238.158,Client#11
2012-05-14T23:36:13.230050+00:00,sim128[28088]:,connect,6,85.216.238.158,Client#11
