2012-05-26T00:51:26.565849+00:00,sim128[24094]:,disconnect,4,187.78.96.188,Diofla
2012-05-26T00:51:34.505868+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#12
2012-05-26T00:52:01.233447+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#12
2012-05-26T01:15:35.261734+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T01:16:58.258208+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T01:17:06.232940+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#12
2012-05-26T01:18:00.163047+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T01:39:26.614925+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T01:39:26.615176+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#12
2012-05-26T01:39:41.287109+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T01:48:38.024524+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#12
2012-05-26T01:49:32.546573+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#12
2012-05-26T02:12:05.534460+00:00,sim128[24094]:,connect,7,88.17.59.52,kilijavier
2012-05-26T02:22:08.493383+00:00,sim128[24094]:,connect,8,220.245.52.25,Client#12
2012-05-26T02:23:06.365354+00:00,sim128[24094]:,connect,9,220.245.52.25,Client#12
2012-05-26T02:30:50.394774+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T02:30:50.394819+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#12
2012-05-26T02:30:50.394841+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#12
2012-05-26T02:30:50.394862+00:00,sim128[24094]:,disconnect,7,88.17.59.52,kilijavier
2012-05-26T02:30:50.394883+00:00,sim128[24094]:,disconnect,8,220.245.52.25,Client#12
2012-05-26T02:30:50.394905+00:00,sim128[24094]:,disconnect,9,220.245.52.25,Client#12
2012-05-26T02:30:58.518859+00:00,sim128[24094]:,connect,10,220.245.52.25,Client#12
2012-05-26T03:18:45.897577+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T03:22:03.564680+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#12
2012-05-26T03:25:25.174186+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#12
2012-05-26T03:27:54.069084+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
