2012-05-27T00:28:28.831466+00:00,sim128[24094]:,disconnect,4,187.156.87.99,JAOO450
2012-05-27T00:28:37.639202+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T00:29:02.447642+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T00:41:26.598952+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T01:23:39.080025+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T01:33:18.062824+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T01:33:18.062852+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T01:33:28.558909+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T01:34:55.608974+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T01:35:15.829224+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T01:36:26.960899+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T01:36:36.108375+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T01:38:16.970080+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T01:44:40.179300+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T01:44:40.179651+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T01:44:48.865905+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T01:45:50.345303+00:00,sim128[24094]:,connect,4,200.207.100.230,Client#4
2012-05-27T01:46:33.514914+00:00,sim128[24094]:,disconnect,4,200.207.100.230,Client#4
2012-05-27T01:51:53.810423+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T01:52:02.793432+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T01:53:40.083784+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T01:53:53.977492+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T02:04:06.265612+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T02:23:17.932334+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T04:47:51.097149+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T04:55:27.881829+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T04:55:27.881877+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T04:55:36.969689+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T06:02:48.280389+00:00,sim128[24094]:,connect,4,114.79.61.126,dadix
2012-05-27T06:11:08.729312+00:00,sim128[24094]:,disconnect,4,114.79.61.126,dadix
2012-05-27T06:11:54.927661+00:00,sim128[24094]:,connect,4,114.79.61.126,dadix
2012-05-27T06:26:23.447268+00:00,sim128[24094]:,namechange,4,114.79.61.126,dadix,spectator
2012-05-27T06:28:09.258652+00:00,sim128[24094]:,disconnect,4,114.79.61.126,spectator
2012-05-27T06:36:16.617531+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T07:17:35.820531+00:00,sim128[24094]:,connect,4,77.242.81.206,Client#7
2012-05-27T08:45:39.980846+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T08:49:27.017236+00:00,sim128[24094]:,disconnect,4,77.242.81.206,Client#7
2012-05-27T08:49:27.017272+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T08:49:38.488143+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T08:52:12.085993+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T08:52:20.737973+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T08:59:25.488316+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T09:00:28.920215+00:00,sim128[24094]:,connect,6,79.249.115.163,Client#5
2012-05-27T09:00:29.095295+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:02:42.118403+00:00,sim128[24094]:,chat,5,220.245.52.25,Client#4,10,Alliance,hi?
2012-05-27T09:05:06.371371+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T09:05:30.181701+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:06:01.591284+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:06:22.623758+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:07:27.225351+00:00,sim128[24094]:,chat,4,220.245.52.25,Client#4,10,Alliance,". - the Gas Station (135,46) doesn't need power."
2012-05-27T09:12:55.075634+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:13:44.969959+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:14:36.139909+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:14:54.663878+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:16:02.352467+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:17:33.607123+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:18:05.739578+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:18:46.761052+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:19:22.211594+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:19:40.323883+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:21:34.774016+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:22:31.354565+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:23:19.489278+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:24:15.064419+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:25:02.035798+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:25:54.751795+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:31:20.841759+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:32:04.623890+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:35:58.316729+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T09:36:32.531952+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T09:39:38.222474+00:00,sim128[24094]:,disconnect,6,79.249.115.163,Client#5
2012-05-27T09:40:44.589113+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T09:42:33.502260+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T09:43:33.405172+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#4
2012-05-27T09:44:54.381492+00:00,sim128[24094]:,connect,8,220.245.52.25,Client#4
2012-05-27T10:03:19.715056+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T10:03:19.715449+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T10:03:19.715735+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T10:03:19.716026+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#4
2012-05-27T10:03:19.716273+00:00,sim128[24094]:,disconnect,8,220.245.52.25,Client#4
2012-05-27T10:32:22.928702+00:00,sim128[24094]:,connect,4,149.172.138.35,londor
2012-05-27T12:17:02.525958+00:00,sim128[24094]:,disconnect,4,149.172.138.35,londor
2012-05-27T12:17:08.851453+00:00,sim128[24094]:,connect,5,109.213.156.125,PITEX
2012-05-27T12:31:14.864022+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T12:35:09.517909+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T12:35:09.518163+00:00,sim128[24094]:,disconnect,5,109.213.156.125,PITEX
2012-05-27T12:35:30.905016+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T12:36:37.433270+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T12:36:59.975872+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T12:47:14.019618+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
