2012-06-05T01:21:56.994464+00:00,sim128[20107]:,disconnect,6,78.45.205.94,HCLivess
2012-06-05T08:14:53.012705+00:00,sim128[20107]:,connect,5,85.216.238.158,Client#11
2012-06-05T12:23:37.733558+00:00,sim128[20107]:,connect,6,79.207.138.117,Client#6
2012-06-05T12:51:52.666618+00:00,sim128[20107]:,disconnect,5,85.216.238.158,Client#11
2012-06-05T12:51:52.666673+00:00,sim128[20107]:,disconnect,6,79.207.138.117,Client#6
2012-06-05T12:51:58.840951+00:00,sim128[20107]:,connect,7,82.158.116.97,Client#6
2012-06-05T13:26:03.003277+00:00,sim128[20107]:,connect,5,217.84.196.105,Client#5
2012-06-05T13:29:32.095119+00:00,sim128[20107]:,disconnect,5,217.84.196.105,Client#5
2012-06-05T13:33:35.318150+00:00,sim128[20107]:,connect,5,87.20.253.2,Client#5
2012-06-05T13:34:11.897624+00:00,sim128[20107]:,namechange,5,87.20.253.2,Client#5,Sulley93
2012-06-05T13:36:37.367844+00:00,sim128[20107]:,disconnect,5,87.20.253.2,Sulley93
2012-06-05T14:06:07.448695+00:00,sim128[20107]:,disconnect,7,82.158.116.97,Client#6
2012-06-05T14:48:26.760657+00:00,sim128[20107]:,connect,5,87.151.235.242,Client#5
2012-06-05T14:52:03.896924+00:00,sim128[20107]:,connect,6,217.66.152.35,DENRIX
2012-06-05T14:53:31.628938+00:00,sim128[20107]:,disconnect,6,217.66.152.35,DENRIX
2012-06-05T14:53:54.186217+00:00,sim128[20107]:,disconnect,5,87.151.235.242,Client#5
2012-06-05T15:06:50.425088+00:00,sim128[20107]:,connect,5,217.84.196.105,Client#5
2012-06-05T15:10:16.927784+00:00,sim128[20107]:,namechange,5,217.84.196.105,Client#5,Gamer
2012-06-05T15:13:15.929827+00:00,sim128[20107]:,disconnect,5,217.84.196.105,Gamer
2012-06-05T15:13:28.783355+00:00,sim128[20107]:,connect,6,217.66.152.35,Client#6
2012-06-05T15:30:43.781072+00:00,sim128[20107]:,connect,5,91.7.173.223,Gasil
2012-06-05T16:27:38.368708+00:00,sim128[20107]:,connect,7,87.151.235.242,Client#5
2012-06-05T16:28:05.700294+00:00,sim128[20107]:,connect,8,89.103.64.131,Client#4
2012-06-05T16:28:05.783163+00:00,sim128[20107]:,disconnect,5,91.7.173.223,Gasil
2012-06-05T16:28:05.783198+00:00,sim128[20107]:,disconnect,6,217.66.152.35,Client#6
2012-06-05T16:31:02.074416+00:00,sim128[20107]:,disconnect,8,89.103.64.131,Client#4
2012-06-05T17:25:48.568414+00:00,sim128[20107]:,connect,5,90.53.243.149,PITEX
2012-06-05T21:54:21.045698+00:00,sim128[20107]:,connect,6,186.206.2.110,Client#6
