2012-06-07T00:13:53.569313+00:00,sim128[20107]:,disconnect,6,161.53.64.74,mak
2012-06-07T00:14:07.283361+00:00,sim128[20107]:,connect,5,98.251.79.180,Client#8
2012-06-07T00:21:26.441978+00:00,sim128[20107]:,connect,6,75.172.128.186,fatfat
2012-06-07T00:21:26.540259+00:00,sim128[20107]:,disconnect,8,98.251.79.180,Client#8
2012-06-07T00:22:59.556668+00:00,sim128[20107]:,chat,5,98.251.79.180,Client#8,9,A-Train Transit,hi
2012-06-07T00:26:06.692868+00:00,sim128[20107]:,disconnect,6,75.172.128.186,fatfat
2012-06-07T01:03:37.890924+00:00,sim128[20107]:,disconnect,5,98.251.79.180,Client#8
2012-06-07T01:03:50.541985+00:00,sim128[20107]:,connect,5,98.251.79.180,Client#8
2012-06-07T01:35:34.235125+00:00,sim128[20107]:,connect,6,98.251.79.180,Client#8
2012-06-07T02:18:47.310939+00:00,sim128[20107]:,connect,7,189.106.243.144,Cesar
2012-06-07T02:18:47.407279+00:00,sim128[20107]:,disconnect,5,98.251.79.180,Client#8
2012-06-07T02:26:23.722206+00:00,sim128[20107]:,disconnect,7,189.106.243.144,Cesar
2012-06-07T02:36:32.131124+00:00,sim128[20107]:,connect,5,98.251.79.180,Client#8
2012-06-07T10:03:54.863430+00:00,sim128[20107]:,disconnect,5,98.251.79.180,Client#8
2012-06-07T10:03:54.863469+00:00,sim128[20107]:,disconnect,6,98.251.79.180,Client#8
2012-06-07T10:04:01.920417+00:00,sim128[20107]:,connect,7,79.249.99.116,Client#7
2012-06-07T11:05:15.087659+00:00,sim128[20107]:,disconnect,7,79.249.99.116,Client#7
2012-06-07T11:22:55.262119+00:00,sim128[20107]:,connect,5,58.177.146.57,NWFB
2012-06-07T14:46:24.489706+00:00,sim128[20107]:,disconnect,5,58.177.146.57,NWFB
2012-06-07T14:46:33.861386+00:00,sim128[20107]:,connect,6,201.13.52.223,Client#7
2012-06-07T14:51:05.232557+00:00,sim128[20107]:,disconnect,6,201.13.52.223,Client#7
2012-06-07T15:24:22.060801+00:00,sim128[20107]:,connect,5,189.70.149.54,Diofla
2012-06-07T15:44:31.154417+00:00,sim128[20107]:,connect,6,90.53.243.149,PITEX
2012-06-07T15:52:51.366162+00:00,sim128[20107]:,disconnect,5,189.70.149.54,Diofla
2012-06-07T15:52:51.366443+00:00,sim128[20107]:,disconnect,6,90.53.243.149,PITEX
2012-06-07T16:05:12.878334+00:00,sim128[20107]:,connect,5,82.158.116.97,Client#6
2012-06-07T17:32:23.081960+00:00,sim128[20107]:,connect,6,79.249.99.116,Client#7
2012-06-07T18:06:54.009459+00:00,sim128[20107]:,connect,7,79.249.99.116,Client#7
2012-06-07T18:07:55.538898+00:00,sim128[20107]:,disconnect,5,82.158.116.97,Client#6
2012-06-07T18:07:55.539233+00:00,sim128[20107]:,disconnect,6,79.249.99.116,Client#7
2012-06-07T18:07:55.539528+00:00,sim128[20107]:,disconnect,7,79.249.99.116,Client#7
2012-06-07T18:08:13.266040+00:00,sim128[20107]:,connect,5,79.249.99.116,Client#7
2012-06-07T19:41:51.435550+00:00,sim128[20107]:,connect,6,82.158.116.97,Client#6
2012-06-07T20:20:51.951854+00:00,sim128[20107]:,disconnect,5,79.249.99.116,Client#7
2012-06-07T20:20:51.951923+00:00,sim128[20107]:,disconnect,6,82.158.116.97,Client#6
2012-06-07T21:28:27.536393+00:00,sim128[20107]:,connect,5,79.249.99.116,Client#7
2012-06-07T22:50:43.877189+00:00,sim128[20107]:,connect,6,208.101.146.222,Ben
2012-06-07T23:01:03.143158+00:00,sim128[20107]:,connect,7,208.101.146.222,Ben
2012-06-07T23:08:19.955915+00:00,sim128[20107]:,connect,8,200.207.169.84,Ladislau
2012-06-07T23:08:20.053937+00:00,sim128[20107]:,disconnect,5,79.249.99.116,Client#7
2012-06-07T23:08:20.053975+00:00,sim128[20107]:,disconnect,6,208.101.146.222,Ben
2012-06-07T23:11:50.016044+00:00,sim128[20107]:,chat,8,200.207.169.84,Ladislau,15,," qual  a senha  do jogo"
2012-06-07T23:13:03.729072+00:00,sim128[20107]:,disconnect,7,208.101.146.222,Ben
2012-06-07T23:13:19.053561+00:00,sim128[20107]:,chat,8,200.207.169.84,Ladislau,15,,what is the password of the game
2012-06-07T23:15:00.005265+00:00,sim128[20107]:,chat,8,200.207.169.84,Ladislau,15,,I play with you
2012-06-07T23:17:19.633705+00:00,sim128[20107]:,chat,8,200.207.169.84,Ladislau,15,,"please help me how do I play, I try to do something but asks for password"
2012-06-07T23:26:22.946368+00:00,sim128[20107]:,disconnect,8,200.207.169.84,Ladislau
2012-06-07T23:26:32.747452+00:00,sim128[20107]:,connect,5,200.207.169.84,Ladislau
