2012-11-25T13:09:44.934915+00:00,sim128a[13623]:,disconnect,4,93.102.35.194,Client#4
2012-11-25T13:09:48.432647+00:00,sim128a[13623]:,connect,2,94.112.140.8,ookami
2012-11-25T13:33:22.388057+00:00,sim128a[13623]:,connect,3,94.112.140.8,ookami
2012-11-25T13:39:37.635612+00:00,sim128a[13623]:,connect,4,94.112.140.8,ookami
2012-11-25T13:42:11.451274+00:00,sim128a[13623]:,connect,5,85.54.138.41,Client#3
2012-11-25T13:42:18.703842+00:00,sim128a[13623]:,connect,6,94.112.140.8,ookami
2012-11-25T13:42:18.875861+00:00,sim128a[13623]:,disconnect,2,94.112.140.8,ookami
2012-11-25T13:42:18.875886+00:00,sim128a[13623]:,disconnect,3,94.112.140.8,ookami
2012-11-25T13:42:18.875908+00:00,sim128a[13623]:,disconnect,4,94.112.140.8,ookami
2012-11-25T13:44:14.868161+00:00,sim128a[13623]:,disconnect,6,94.112.140.8,ookami
2012-11-25T13:45:05.730992+00:00,sim128a[13623]:,connect,2,94.112.140.8,ookami
2012-11-25T13:49:02.389330+00:00,sim128a[13623]:,disconnect,2,94.112.140.8,ookami
2012-11-25T14:59:57.620227+00:00,sim128a[13623]:,connect,2,85.54.138.41,Client#3
2012-11-25T15:27:49.600741+00:00,sim128a[13623]:,connect,3,85.216.236.24,Client#3
2012-11-25T15:27:49.662123+00:00,sim128a[13623]:,disconnect,5,85.54.138.41,Client#3
2012-11-25T16:09:51.727075+00:00,sim128a[13623]:,disconnect,2,85.54.138.41,Client#3
2012-11-25T16:22:15.566029+00:00,sim128a[13623]:,disconnect,3,85.216.236.24,Client#3
2012-11-25T16:22:21.833094+00:00,sim128a[13623]:,connect,2,85.216.236.24,Client#3
2012-11-25T17:14:19.110817+00:00,sim128a[13623]:,connect,3,89.169.147.141,slpak
2012-11-25T18:07:08.292944+00:00,sim128a[13623]:,connect,4,186.19.133.154,andres
2012-11-25T18:07:08.466625+00:00,sim128a[13623]:,disconnect,2,85.216.236.24,Client#3
2012-11-25T18:09:12.458015+00:00,sim128a[13623]:,disconnect,4,186.19.133.154,andres
2012-11-25T19:20:36.460306+00:00,sim128a[13623]:,disconnect,3,89.169.147.141,slpak
2012-11-25T21:23:17.726524+00:00,sim128a[13623]:,connect,2,98.251.79.180,Client#6
2012-11-25T21:38:00.733436+00:00,sim128a[13623]:,disconnect,2,98.251.79.180,Client#6
2012-11-25T21:38:16.291273+00:00,sim128a[13623]:,connect,2,98.251.79.180,Client#6
2012-11-25T21:44:22.495397+00:00,sim128a[13623]:,disconnect,2,98.251.79.180,Client#6
2012-11-25T21:44:36.079297+00:00,sim128a[13623]:,connect,2,98.251.79.180,Client#6
2012-11-25T21:45:07.564705+00:00,sim128a[13623]:,disconnect,2,98.251.79.180,Client#6
2012-11-25T21:45:21.144436+00:00,sim128a[13623]:,connect,2,98.251.79.180,Client#6
2012-11-25T21:47:34.030484+00:00,sim128a[13623]:,connect,3,98.251.79.180,Client#6
2012-11-25T22:56:44.966960+00:00,sim128a[13623]:,connect,4,98.251.79.180,Client#6
