2012-11-29T00:06:38.607723+00:00,sim128a[13623]:,connect,2,108.245.18.64,jackfrost
2012-11-29T02:05:23.243801+00:00,sim128a[23434]:,connect,2,144.32.45.19,Client#2
2012-11-29T03:59:00.211895+00:00,sim128a[23434]:,connect,3,98.251.79.180,Client#6
2012-11-29T07:44:42.806144+00:00,sim128a[23434]:,disconnect,2,144.32.45.19,Client#2
2012-11-29T07:44:42.806173+00:00,sim128a[23434]:,disconnect,3,98.251.79.180,Client#6
2012-11-29T07:44:46.782638+00:00,sim128a[23434]:,connect,4,85.216.236.24,Client#9
2012-11-29T08:56:27.557749+00:00,sim128a[23434]:,connect,2,85.216.236.24,Client#9
2012-11-29T10:42:31.771570+00:00,sim128a[23434]:,connect,3,79.199.192.137,hello
2012-11-29T13:06:13.199734+00:00,sim128a[23434]:,connect,5,85.53.210.102,Client#6
2012-11-29T13:06:13.368054+00:00,sim128a[23434]:,disconnect,2,85.216.236.24,Client#9
2012-11-29T13:06:13.368332+00:00,sim128a[23434]:,disconnect,4,85.216.236.24,Client#9
2012-11-29T13:07:07.764806+00:00,sim128a[23434]:,disconnect,5,85.53.210.102,Client#6
2012-11-29T13:07:18.389655+00:00,sim128a[23434]:,connect,2,85.53.210.102,Client#6
2012-11-29T13:08:08.354694+00:00,sim128a[23434]:,disconnect,2,85.53.210.102,Client#6
2012-11-29T16:01:06.803991+00:00,sim128a[23434]:,connect,2,2.107.114.27,Client#2
2012-11-29T18:01:42.223519+00:00,sim128a[23434]:,connect,4,85.216.236.24,Client#9
2012-11-29T18:15:54.311828+00:00,sim128a[23434]:,disconnect,2,2.107.114.27,Client#2
2012-11-29T18:15:54.312918+00:00,sim128a[23434]:,disconnect,3,79.199.192.137,hello
2012-11-29T18:15:54.313139+00:00,sim128a[23434]:,disconnect,4,85.216.236.24,Client#9
2012-11-29T19:33:09.304593+00:00,sim128a[23434]:,connect,2,85.216.236.24,Client#9
2012-11-29T19:49:24.055482+00:00,sim128a[23434]:,connect,3,213.189.154.40,ojii
2012-11-29T19:50:23.661951+00:00,sim128a[23434]:,disconnect,2,85.216.236.24,Client#9
2012-11-29T19:50:32.172398+00:00,sim128a[23434]:,connect,2,85.216.236.24,Client#9
2012-11-29T19:54:50.097532+00:00,sim128a[23434]:,disconnect,2,85.216.236.24,Client#9
2012-11-29T20:57:52.795779+00:00,sim128a[23434]:,disconnect,3,213.189.154.40,ojii
2012-11-29T20:57:57.608587+00:00,sim128a[23434]:,connect,2,50.13.109.208,jes
2012-11-29T21:17:11.678154+00:00,sim128a[23434]:,connect,3,69.138.176.94,Fifty
2012-11-29T21:38:26.057237+00:00,sim128a[23434]:,disconnect,2,50.13.109.208,jes
2012-11-29T21:38:26.057259+00:00,sim128a[23434]:,disconnect,3,69.138.176.94,Fifty
2012-11-29T21:38:30.860469+00:00,sim128a[23434]:,connect,4,98.251.79.180,Client#6
2012-11-29T21:40:45.423985+00:00,sim128a[23434]:,disconnect,4,98.251.79.180,Client#6
2012-11-29T23:03:31.839482+00:00,sim128a[23434]:,connect,2,81.62.45.2,ojii
