2012-12-05T00:36:55.473548+00:00,sim128a[23434]:,disconnect,2,78.43.123.47,Hi!
2012-12-05T00:37:00.699615+00:00,sim128a[23434]:,connect,3,91.16.85.186,Jaridan
2012-12-05T00:37:25.184083+00:00,sim128a[23434]:,disconnect,3,91.16.85.186,Jaridan
2012-12-05T01:05:13.209706+00:00,sim128a[23434]:,connect,2,186.241.239.165,Kalyl
2012-12-05T01:06:24.345812+00:00,sim128a[23434]:,connect,3,186.241.239.165,Kalyl
2012-12-05T01:14:21.031372+00:00,sim128a[23434]:,disconnect,2,186.241.239.165,Kalyl
2012-12-05T01:14:21.031408+00:00,sim128a[23434]:,disconnect,3,186.241.239.165,Kalyl
2012-12-05T01:14:38.316975+00:00,sim128a[23434]:,connect,2,186.241.239.165,Kalyl
2012-12-05T01:34:59.336909+00:00,sim128a[23434]:,connect,3,186.241.239.165,Kalyl
2012-12-05T01:44:23.480863+00:00,sim128a[23434]:,connect,4,186.241.239.165,Kalyl
2012-12-05T02:07:59.682085+00:00,sim128a[23434]:,connect,5,186.241.239.165,Kalyl
2012-12-05T10:00:11.731778+00:00,sim128a[23434]:,connect,6,111.161.8.10,WorldOfUnitedCities
2012-12-05T11:34:31.655637+00:00,sim128a[23434]:,disconnect,2,186.241.239.165,Kalyl
2012-12-05T11:34:31.656830+00:00,sim128a[23434]:,disconnect,3,186.241.239.165,Kalyl
2012-12-05T11:34:31.656873+00:00,sim128a[23434]:,disconnect,4,186.241.239.165,Kalyl
2012-12-05T11:34:31.656934+00:00,sim128a[23434]:,disconnect,5,186.241.239.165,Kalyl
2012-12-05T11:34:31.656979+00:00,sim128a[23434]:,disconnect,6,111.161.8.10,WorldOfUnitedCities
2012-12-05T11:34:38.428224+00:00,sim128a[23434]:,connect,7,186.241.239.165,Kalyl
2012-12-05T15:57:12.841274+00:00,sim128a[23434]:,connect,2,91.52.50.179,Client#2
2012-12-05T15:58:34.527389+00:00,sim128a[23434]:,disconnect,2,91.52.50.179,Client#2
2012-12-05T15:58:34.527413+00:00,sim128a[23434]:,disconnect,7,186.241.239.165,Kalyl
2012-12-05T22:49:20.151607+00:00,sim128a[23434]:,connect,2,188.6.192.97,HDomos
2012-12-05T22:50:00.916429+00:00,sim128a[23434]:,disconnect,2,188.6.192.97,HDomos
