2012-12-18T02:36:07.001069+00:00,sim128a[23434]:,disconnect,8,177.143.208.131,edscity
2012-12-18T02:36:14.527901+00:00,sim128a[23434]:,connect,2,201.27.237.118,Client#3
2012-12-18T10:24:44.531381+00:00,sim128a[23434]:,disconnect,2,201.27.237.118,Client#3
2012-12-18T10:24:52.960499+00:00,sim128a[23434]:,connect,4,202.152.194.197,Client#2
2012-12-18T14:26:19.951774+00:00,sim128a[23434]:,connect,2,201.95.76.158,rp.augusto
2012-12-18T15:16:24.911079+00:00,sim128a[23434]:,connect,6,200.150.63.30,gfurst
2012-12-18T15:20:51.555874+00:00,sim128a[23434]:,disconnect,2,201.95.76.158,rp.augusto
2012-12-18T15:20:51.556055+00:00,sim128a[23434]:,disconnect,4,202.152.194.197,Client#2
2012-12-18T15:20:51.556299+00:00,sim128a[23434]:,disconnect,6,200.150.63.30,gfurst
2012-12-18T17:11:53.452941+00:00,sim128a[23434]:,connect,2,82.72.121.73,LegoVogel
2012-12-18T20:01:45.339696+00:00,sim128a[23434]:,disconnect,2,82.72.121.73,LegoVogel
2012-12-18T20:01:54.119725+00:00,sim128a[23434]:,connect,4,202.152.194.204,Client#2
2012-12-18T20:50:33.440248+00:00,sim128a[23434]:,disconnect,4,202.152.194.204,Client#2
2012-12-18T20:50:42.851927+00:00,sim128a[23434]:,connect,2,202.152.194.204,Client#2
2012-12-18T20:52:04.516836+00:00,sim128a[23434]:,disconnect,2,202.152.194.204,Client#2
2012-12-18T20:52:13.511505+00:00,sim128a[23434]:,connect,4,202.152.194.204,Client#2
2012-12-18T21:37:35.959550+00:00,sim128a[23434]:,connect,2,202.152.194.204,Client#2
2012-12-18T21:47:37.258387+00:00,sim128a[23434]:,connect,6,202.152.194.204,Client#2
2012-12-18T22:20:12.164786+00:00,sim128a[23434]:,connect,7,24.166.240.133,Client#7
