2013-01-15T01:16:42.310543+00:00,sim128a[12893]:,isconnect,2,109.253.183.81,Madmax
2013-01-15T01:16:48.929756+00:00,sim128a[12893]:,onnect,3,14.199.13.214,Chung
2013-01-15T01:21:45.732843+00:00,sim128a[12893]:,isconnect,3,14.199.13.214,Chung
2013-01-15T01:21:52.323988+00:00,sim128a[12893]:,onnect,2,14.199.13.214,Chung
2013-01-15T02:04:47.370598+00:00,sim128a[12893]:,isconnect,2,14.199.13.214,Chung
2013-01-15T02:05:09.730060+00:00,sim128a[12893]:,onnect,2,14.199.13.214,Chung
2013-01-15T05:15:17.824061+00:00,sim128a[12893]:,onnect,3,14.199.13.214,Chung
2013-01-15T07:48:43.960984+00:00,sim128a[12893]:,isconnect,2,14.199.13.214,Chung
2013-01-15T07:48:43.961099+00:00,sim128a[12893]:,isconnect,3,14.199.13.214,Chung
2013-01-15T07:48:57.664702+00:00,sim128a[12893]:,onnect,4,14.199.13.214,Chung
2013-01-15T07:49:24.071376+00:00,sim128a[12893]:,isconnect,4,14.199.13.214,Chung
2013-01-15T08:57:24.654354+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T14:07:41.885036+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T14:07:46.728735+00:00,sim128a[12893]:,onnect,3,77.253.37.100,tomtych
2013-01-15T15:02:49.696990+00:00,sim128a[12893]:,isconnect,3,77.253.37.100,tomtych
2013-01-15T15:02:55.369390+00:00,sim128a[12893]:,onnect,2,80.221.247.164,Othou
2013-01-15T15:54:55.853507+00:00,sim128a[12893]:,onnect,3,130.89.239.252,jjasloot
2013-01-15T16:02:49.502656+00:00,sim128a[12893]:,onnect,4,85.216.236.24,Client#2
2013-01-15T16:14:44.147123+00:00,sim128a[12893]:,isconnect,2,80.221.247.164,Othou
2013-01-15T16:14:44.147151+00:00,sim128a[12893]:,isconnect,3,130.89.239.252,jjasloot
2013-01-15T16:14:44.147178+00:00,sim128a[12893]:,isconnect,4,85.216.236.24,Client#2
2013-01-15T16:15:00.395260+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T16:30:48.129480+00:00,sim128a[12893]:,onnect,3,85.216.236.24,Client#2
2013-01-15T16:35:23.823947+00:00,sim128a[12893]:,onnect,4,85.216.236.24,Client#2
2013-01-15T16:37:17.821772+00:00,sim128a[12893]:,onnect,5,85.216.236.24,Client#2
2013-01-15T16:41:09.411587+00:00,sim128a[12893]:,onnect,6,85.216.236.24,Client#2
2013-01-15T16:56:22.095989+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T16:56:22.096012+00:00,sim128a[12893]:,isconnect,3,85.216.236.24,Client#2
2013-01-15T16:56:22.096035+00:00,sim128a[12893]:,isconnect,4,85.216.236.24,Client#2
2013-01-15T16:56:22.096058+00:00,sim128a[12893]:,isconnect,5,85.216.236.24,Client#2
2013-01-15T16:56:22.096080+00:00,sim128a[12893]:,isconnect,6,85.216.236.24,Client#2
2013-01-15T16:56:31.584012+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T17:09:10.527801+00:00,sim128a[12893]:,onnect,3,85.216.236.24,Client#2
2013-01-15T17:26:09.292343+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T17:26:09.292404+00:00,sim128a[12893]:,isconnect,3,85.216.236.24,Client#2
2013-01-15T17:28:48.871882+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T17:38:45.816292+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T17:38:51.087992+00:00,sim128a[12893]:,onnect,3,84.113.89.131,Client#3
2013-01-15T17:39:47.265645+00:00,sim128a[12893]:,amechange,3,84.113.89.131,Client#3,DREGGY [AT]
2013-01-15T18:21:45.654033+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T18:33:18.059997+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T18:33:18.060120+00:00,sim128a[12893]:,isconnect,3,84.113.89.131,DREGGY [AT]
2013-01-15T18:33:27.320604+00:00,sim128a[12893]:,onnect,2,85.216.236.24,Client#2
2013-01-15T18:53:54.147249+00:00,sim128a[12893]:,isconnect,2,85.216.236.24,Client#2
2013-01-15T18:53:59.549066+00:00,sim128a[12893]:,onnect,3,85.216.236.24,Client#2
2013-01-15T19:21:16.247973+00:00,sim128a[12893]:,onnect,2,93.223.25.17,Client#2
2013-01-15T19:30:45.615991+00:00,sim128a[12893]:,onnect,4,114.79.29.86,Client#4
2013-01-15T20:33:47.846482+00:00,sim128a[12893]:,isconnect,2,93.223.25.17,Client#2
2013-01-15T20:33:47.846589+00:00,sim128a[12893]:,isconnect,3,85.216.236.24,Client#2
2013-01-15T20:33:47.846706+00:00,sim128a[12893]:,isconnect,4,114.79.29.86,Client#4
2013-01-15T20:33:53.529031+00:00,sim128a[12893]:,onnect,5,92.226.2.223,Lactor
2013-01-15T20:35:22.334151+00:00,sim128a[12893]:,isconnect,5,92.226.2.223,Lactor
