2013-02-04T03:12:52.234101+00:00,sim128a[22257]:,isconnect,4,85.216.236.24,Client#3
2013-02-04T03:12:58.599764+00:00,sim128a[22257]:,onnect,2,98.141.195.197,Fifty
2013-02-04T11:24:57.997667+00:00,sim128a[22257]:,isconnect,2,98.141.195.197,Fifty
2013-02-04T11:25:02.676814+00:00,sim128a[22257]:,onnect,4,109.212.63.131,Client#1
2013-02-04T11:39:34.041424+00:00,sim128a[22257]:,isconnect,4,109.212.63.131,Client#1
2013-02-04T14:18:43.321761+00:00,sim128a[22257]:,onnect,2,92.225.203.68,Client#7
2013-02-04T14:44:31.183797+00:00,sim128a[22257]:,onnect,3,78.230.220.129,Coc
2013-02-04T14:55:26.432669+00:00,sim128a[22257]:,isconnect,3,78.230.220.129,Coc
2013-02-04T15:22:23.070478+00:00,sim128a[22257]:,isconnect,2,92.225.203.68,Client#7
2013-02-04T15:22:37.126814+00:00,sim128a[22257]:,onnect,2,92.225.203.68,Client#7
2013-02-04T16:00:13.898342+00:00,sim128a[22257]:,onnect,3,92.225.203.68,Client#7
2013-02-04T16:45:14.493814+00:00,sim128a[22257]:,onnect,4,203.115.86.223,Client#5
2013-02-04T16:56:25.141536+00:00,sim128a[22257]:,isconnect,2,92.225.203.68,Client#7
2013-02-04T16:56:25.141650+00:00,sim128a[22257]:,isconnect,3,92.225.203.68,Client#7
2013-02-04T16:56:25.141752+00:00,sim128a[22257]:,isconnect,4,203.115.86.223,Client#5
2013-02-04T16:56:28.984906+00:00,sim128a[22257]:,onnect,5,92.225.203.68,Client#7
2013-02-04T16:56:59.231731+00:00,sim128a[22257]:,isconnect,5,92.225.203.68,Client#7
2013-02-04T17:35:42.151945+00:00,sim128a[22257]:,onnect,2,109.212.63.131,Client#1
2013-02-04T17:56:18.292392+00:00,sim128a[22257]:,onnect,3,109.212.63.131,Client#1
2013-02-04T17:58:46.058896+00:00,sim128a[22257]:,onnect,4,109.212.63.131,Client#1
2013-02-04T18:01:10.303628+00:00,sim128a[22257]:,isconnect,2,109.212.63.131,Client#1
2013-02-04T18:01:10.303651+00:00,sim128a[22257]:,isconnect,3,109.212.63.131,Client#1
2013-02-04T18:01:10.303675+00:00,sim128a[22257]:,isconnect,4,109.212.63.131,Client#1
2013-02-04T18:01:20.203786+00:00,sim128a[22257]:,onnect,2,109.212.63.131,Client#1
2013-02-04T18:16:25.073774+00:00,sim128a[22257]:,onnect,3,109.212.63.131,Client#1
2013-02-04T18:16:39.239735+00:00,sim128a[22257]:,isconnect,2,109.212.63.131,Client#1
2013-02-04T18:16:39.239860+00:00,sim128a[22257]:,isconnect,3,109.212.63.131,Client#1
2013-02-04T18:16:48.531979+00:00,sim128a[22257]:,onnect,2,109.212.63.131,Client#1
2013-02-04T18:40:06.318464+00:00,sim128a[22257]:,onnect,3,92.225.203.68,Client#7
2013-02-04T18:42:15.843574+00:00,sim128a[22257]:,isconnect,3,92.225.203.68,Client#7
2013-02-04T18:44:20.841297+00:00,sim128a[22257]:,onnect,3,109.212.63.131,Client#1
2013-02-04T18:46:16.475242+00:00,sim128a[22257]:,onnect,4,109.212.63.131,Client#1
2013-02-04T19:00:53.829107+00:00,sim128a[22257]:,isconnect,2,109.212.63.131,Client#1
2013-02-04T19:00:53.829143+00:00,sim128a[22257]:,isconnect,3,109.212.63.131,Client#1
2013-02-04T19:00:53.829173+00:00,sim128a[22257]:,isconnect,4,109.212.63.131,Client#1
2013-02-04T19:00:57.682526+00:00,sim128a[22257]:,onnect,5,109.212.63.131,Client#1
2013-02-04T19:07:06.166715+00:00,sim128a[22257]:,isconnect,5,109.212.63.131,Client#1
2013-02-04T19:31:09.582425+00:00,sim128a[22257]:,onnect,2,109.212.63.131,Client#1
2013-02-04T19:40:43.467984+00:00,sim128a[22257]:,isconnect,2,109.212.63.131,Client#1
2013-02-04T21:32:44.340004+00:00,sim128a[22257]:,onnect,2,78.55.245.182,Client#6
2013-02-04T21:36:31.185803+00:00,sim128a[22257]:,isconnect,2,78.55.245.182,Client#6
