2012-11-27T06:22:58.800927+00:00,sim128b[29384]:,disconnect,2,80.144.97.119,Chris
2012-11-27T06:22:58.802039+00:00,sim128b[29384]:,disconnect,3,91.16.74.124,Client#5
2012-11-27T06:22:58.802228+00:00,sim128b[29384]:,disconnect,4,98.251.79.180,Client#6
2012-11-27T06:24:03.995244+00:00,sim128b[29384]:,connect,5,36.68.199.172,Client#3
2012-11-27T06:50:07.738337+00:00,sim128b[29384]:,disconnect,5,36.68.199.172,Client#3
2012-11-27T06:50:21.473199+00:00,sim128b[29384]:,connect,2,85.216.236.24,Client#3
2012-11-27T18:28:27.010244+00:00,sim128b[29384]:,connect,3,98.251.79.180,Client#6
2012-11-27T19:49:22.937910+00:00,sim128b[29384]:,disconnect,2,85.216.236.24,Client#3
2012-11-27T19:49:22.937935+00:00,sim128b[29384]:,disconnect,3,98.251.79.180,Client#6
2012-11-27T19:49:39.419202+00:00,sim128b[29384]:,connect,4,98.251.79.180,Client#6
2012-11-27T19:51:06.562010+00:00,sim128b[29384]:,disconnect,4,98.251.79.180,Client#6
2012-11-27T19:51:22.027634+00:00,sim128b[29384]:,connect,2,98.251.79.180,Client#6
2012-11-27T20:29:35.638192+00:00,sim128b[29384]:,disconnect,2,98.251.79.180,Client#6
2012-11-27T20:29:50.806381+00:00,sim128b[29384]:,connect,3,98.251.79.180,Client#6
2012-11-27T20:31:01.246467+00:00,sim128b[29384]:,connect,2,98.251.79.180,Client#6
2012-11-27T21:40:14.493379+00:00,sim128b[29384]:,connect,4,91.16.90.168,Client#5
2012-11-27T22:08:20.128411+00:00,sim128b[29384]:,connect,6,82.232.237.49,dg
2012-11-27T22:08:20.234029+00:00,sim128b[29384]:,disconnect,2,98.251.79.180,Client#6
2012-11-27T22:08:20.234079+00:00,sim128b[29384]:,disconnect,3,98.251.79.180,Client#6
2012-11-27T22:11:04.701874+00:00,sim128b[29384]:,chat,4,91.16.90.168,Client#5,7,German Trains Transport,hi
2012-11-27T22:15:04.706658+00:00,sim128b[29384]:,disconnect,6,82.232.237.49,dg
