2012-04-01T00:10:00.110689+00:00,sim64a[15579]:,disconnect,2,85.105.182.69,eser
2012-04-01T00:10:05.139427+00:00,sim64a[15579]:,connect,3,71.200.68.118,Benjad
2012-04-01T00:15:26.709991+00:00,sim64a[15579]:,connect,2,177.33.96.86,edson
2012-04-01T00:20:02.441491+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Benjad
2012-04-01T01:19:46.761528+00:00,sim64a[15579]:,disconnect,2,177.33.96.86,edson
2012-04-01T01:19:57.419407+00:00,sim64a[15579]:,connect,2,177.33.96.86,edson
2012-04-01T01:22:05.237629+00:00,sim64a[15579]:,connect,3,177.33.96.86,edson
2012-04-01T01:22:38.290572+00:00,sim64a[15579]:,disconnect,2,177.33.96.86,edson
2012-04-01T01:22:38.290849+00:00,sim64a[15579]:,disconnect,3,177.33.96.86,edson
2012-04-01T02:09:16.780617+00:00,sim64a[15579]:,connect,2,190.73.89.1,Client#2
2012-04-01T02:10:00.934454+00:00,sim64a[15579]:,chat,2,190.73.89.1,Client#2,15,,hell
2012-04-01T02:21:27.932597+00:00,sim64a[15579]:,connect,3,190.73.89.1,Client#3
2012-04-01T02:38:21.251967+00:00,sim64a[15579]:,connect,4,190.73.89.1,Client#4
2012-04-01T02:38:21.388626+00:00,sim64a[15579]:,disconnect,2,190.73.89.1,Client#2
2012-04-01T02:45:46.343204+00:00,sim64a[15579]:,disconnect,4,190.73.89.1,Client#4
2012-04-01T02:53:52.537358+00:00,sim64a[15579]:,connect,2,190.73.89.1,Client#4
2012-04-01T03:00:29.162064+00:00,sim64a[15579]:,connect,4,74.96.61.150,Client#4
2012-04-01T03:00:29.218758+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,Client#3
2012-04-01T03:04:42.812136+00:00,sim64a[15579]:,disconnect,4,74.96.61.150,Client#4
2012-04-01T04:17:12.571885+00:00,sim64a[15579]:,connect,3,190.73.89.1,Client#4
2012-04-01T06:13:40.395241+00:00,sim64a[15579]:,disconnect,2,190.73.89.1,Client#4
2012-04-01T06:13:40.395283+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,Client#4
2012-04-01T06:13:45.091908+00:00,sim64a[15579]:,connect,4,78.9.93.57,Client#4
2012-04-01T06:24:56.301444+00:00,sim64a[15579]:,disconnect,4,78.9.93.57,Client#4
2012-04-01T07:06:06.132045+00:00,sim64a[15579]:,connect,2,92.40.198.36,ninjaman
2012-04-01T09:26:36.184064+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T10:20:34.505047+00:00,sim64a[15579]:,connect,4,177.33.96.209,edson
2012-04-01T10:31:03.575622+00:00,sim64a[15579]:,connect,5,92.40.232.54,NINJAMAN10
2012-04-01T10:31:03.627350+00:00,sim64a[15579]:,disconnect,2,92.40.198.36,ninjaman
2012-04-01T10:31:03.627419+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T10:34:25.544814+00:00,sim64a[15579]:,disconnect,5,92.40.232.54,NINJAMAN10
2012-04-01T10:58:03.481050+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T12:00:14.448532+00:00,sim64a[15579]:,connect,3,178.219.32.61,mniip
2012-04-01T12:07:50.424951+00:00,sim64a[15579]:,connect,5,178.219.32.61,mniip
2012-04-01T12:11:31.881197+00:00,sim64a[15579]:,connect,6,178.219.32.61,mniip
2012-04-01T12:12:24.411276+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T12:12:24.411667+00:00,sim64a[15579]:,disconnect,3,178.219.32.61,mniip
2012-04-01T12:12:24.411899+00:00,sim64a[15579]:,disconnect,4,177.33.96.209,edson
2012-04-01T12:12:24.412134+00:00,sim64a[15579]:,disconnect,5,178.219.32.61,mniip
2012-04-01T12:12:24.412365+00:00,sim64a[15579]:,disconnect,6,178.219.32.61,mniip
2012-04-01T12:12:56.779580+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:13:12.343785+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T12:16:49.237625+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:17:12.477365+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:17:40.044198+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:17:56.647590+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:18:58.857292+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:19:14.112097+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:20:06.681647+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:20:22.886113+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:23:07.736691+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:23:23.040129+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:24:21.413420+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:25:10.311473+00:00,sim64a[15579]:,connect,2,178.219.32.61,mniip
2012-04-01T12:28:17.440508+00:00,sim64a[15579]:,disconnect,2,178.219.32.61,mniip
2012-04-01T12:43:07.378257+00:00,sim64a[15579]:,connect,2,80.132.158.159,Client#2
2012-04-01T12:44:01.306600+00:00,sim64a[15579]:,disconnect,2,80.132.158.159,Client#2
2012-04-01T12:44:15.713787+00:00,sim64a[15579]:,connect,2,80.132.158.159,Client#2
2012-04-01T12:44:36.262798+00:00,sim64a[15579]:,connect,4,72.189.80.141,XxTony0413xX
2012-04-01T12:45:09.589424+00:00,sim64a[15579]:,disconnect,4,72.189.80.141,XxTony0413xX
2012-04-01T12:45:56.726389+00:00,sim64a[15579]:,connect,4,72.189.80.141,Client#4
2012-04-01T12:47:45.456847+00:00,sim64a[15579]:,disconnect,4,72.189.80.141,Client#4
