2012-05-04T00:37:10.074861+00:00,sim64a[2986]:,disconnect,3,201.8.239.163,Edcity
2012-05-04T00:37:16.329194+00:00,sim64a[2986]:,connect,2,67.183.151.25,Client#2
2012-05-04T01:34:03.692546+00:00,sim64a[2986]:,connect,3,98.141.195.146,Fifty
2012-05-04T06:19:39.265352+00:00,sim64a[2986]:,connect,4,80.132.149.20,Client#2
2012-05-04T06:26:31.934111+00:00,sim64a[2986]:,connect,5,118.15.242.68,Client#5
2012-05-04T06:26:32.107499+00:00,sim64a[2986]:,disconnect,2,67.183.151.25,Client#2
2012-05-04T06:26:32.107636+00:00,sim64a[2986]:,disconnect,3,98.141.195.146,Fifty
2012-05-04T06:30:09.224959+00:00,sim64a[2986]:,disconnect,5,118.15.242.68,Client#5
2012-05-04T12:50:40.275849+00:00,sim64a[2986]:,disconnect,4,80.132.149.20,Client#2
2012-05-04T12:50:45.571319+00:00,sim64a[2986]:,connect,2,80.132.149.20,Client#2
2012-05-04T13:29:16.124058+00:00,sim64a[2986]:,connect,3,187.34.114.9,"São Paulo "
2012-05-04T13:32:31.305825+00:00,sim64a[2986]:,disconnect,2,80.132.149.20,Client#2
2012-05-04T13:32:31.305872+00:00,sim64a[2986]:,disconnect,3,187.34.114.9,"São Paulo "
2012-05-04T13:32:39.475848+00:00,sim64a[2986]:,connect,4,187.34.114.9,"São Paulo "
2012-05-04T13:33:33.887314+00:00,sim64a[2986]:,disconnect,4,187.34.114.9,"São Paulo "
2012-05-04T13:51:25.377535+00:00,sim64a[2986]:,connect,2,187.34.114.9,"São Paulo "
2012-05-04T13:53:01.345610+00:00,sim64a[2986]:,disconnect,2,187.34.114.9,"São Paulo "
2012-05-04T13:53:21.152067+00:00,sim64a[2986]:,connect,2,187.34.114.9,"São Paulo "
2012-05-04T14:30:31.381553+00:00,sim64a[2986]:,connect,3,91.54.244.126,Client#3
2012-05-04T15:50:40.249838+00:00,sim64a[2986]:,connect,4,91.127.73.136,Client#4
2012-05-04T16:59:13.167325+00:00,sim64a[2986]:,disconnect,2,187.34.114.9,"São Paulo "
2012-05-04T16:59:13.167361+00:00,sim64a[2986]:,disconnect,3,91.54.244.126,Client#3
2012-05-04T16:59:13.167383+00:00,sim64a[2986]:,disconnect,4,91.127.73.136,Client#4
2012-05-04T16:59:20.334012+00:00,sim64a[2986]:,connect,5,201.95.80.136,Eric Costa Marques
2012-05-04T17:05:23.772482+00:00,sim64a[2986]:,connect,2,61.117.160.5,Client#20
2012-05-04T17:37:22.224773+00:00,sim64a[2986]:,disconnect,2,61.117.160.5,Client#20
2012-05-04T17:37:22.225078+00:00,sim64a[2986]:,disconnect,5,201.95.80.136,Eric Costa Marques
2012-05-04T17:37:29.030379+00:00,sim64a[2986]:,connect,3,188.33.35.67,itms
2012-05-04T17:39:20.055425+00:00,sim64a[2986]:,connect,2,62.143.151.37,Client#2
2012-05-04T17:41:46.226791+00:00,sim64a[2986]:,disconnect,3,188.33.35.67,itms
2012-05-04T18:11:36.527370+00:00,sim64a[2986]:,connect,3,92.39.149.2,solari450
2012-05-04T20:04:09.345512+00:00,sim64a[2986]:,connect,4,188.33.35.67,itms
2012-05-04T20:57:06.584799+00:00,sim64a[2986]:,connect,5,80.132.169.129,Client#2
2012-05-04T20:57:49.090392+00:00,sim64a[2986]:,connect,6,188.33.35.67,itms
2012-05-04T20:57:49.145866+00:00,sim64a[2986]:,disconnect,2,62.143.151.37,Client#2
2012-05-04T20:57:49.145902+00:00,sim64a[2986]:,disconnect,3,92.39.149.2,solari450
2012-05-04T20:57:49.145921+00:00,sim64a[2986]:,disconnect,4,188.33.35.67,itms
2012-05-04T21:07:34.101400+00:00,sim64a[2986]:,disconnect,5,80.132.169.129,Client#2
2012-05-04T21:34:37.041085+00:00,sim64a[2986]:,connect,2,98.141.195.146,Fifty
2012-05-04T21:38:37.021720+00:00,sim64a[2986]:,connect,3,98.141.195.146,Fifty
2012-05-04T21:39:17.988357+00:00,sim64a[2986]:,disconnect,2,98.141.195.146,Fifty
2012-05-04T21:39:17.988391+00:00,sim64a[2986]:,disconnect,3,98.141.195.146,Fifty
2012-05-04T21:39:17.988415+00:00,sim64a[2986]:,disconnect,6,188.33.35.67,itms
2012-05-04T21:39:27.090594+00:00,sim64a[2986]:,connect,4,98.141.195.146,Fifty
2012-05-04T22:56:59.822690+00:00,sim64a[2986]:,connect,2,201.95.1.7,"São Paulo "
