2012-05-05T01:29:45.234666+00:00,sim64a[2986]:,disconnect,2,201.95.1.7,"São Paulo "
2012-05-05T01:29:45.234916+00:00,sim64a[2986]:,disconnect,4,98.141.195.146,Fifty
2012-05-05T01:29:52.910502+00:00,sim64a[2986]:,connect,3,68.148.41.23,Keystone Industries
2012-05-05T06:33:51.325096+00:00,sim64a[2986]:,disconnect,3,68.148.41.23,Keystone Industries
2012-05-05T06:33:56.384998+00:00,sim64a[2986]:,connect,2,80.132.147.11,Client#2
2012-05-05T10:34:53.490245+00:00,sim64a[2986]:,disconnect,2,80.132.147.11,Client#2
2012-05-05T10:34:58.440963+00:00,sim64a[2986]:,connect,3,80.132.147.11,Client#2
2012-05-05T12:23:32.322077+00:00,sim64a[2986]:,connect,2,77.7.107.64,Client#2
2012-05-05T15:06:53.555791+00:00,sim64a[2986]:,disconnect,2,77.7.107.64,Client#2
2012-05-05T15:06:53.556114+00:00,sim64a[2986]:,disconnect,3,80.132.147.11,Client#2
2012-05-05T15:06:58.875048+00:00,sim64a[2986]:,connect,4,80.132.163.74,Client#2
2012-05-05T15:09:50.462809+00:00,sim64a[2986]:,connect,2,92.239.30.230,hotshot
2012-05-05T15:10:06.470177+00:00,sim64a[2986]:,disconnect,4,80.132.163.74,Client#2
2012-05-05T15:22:18.694350+00:00,sim64a[2986]:,connect,3,80.132.163.74,Client#2
2012-05-05T15:58:09.120877+00:00,sim64a[2986]:,connect,4,118.96.160.200,P1
2012-05-05T15:58:09.255035+00:00,sim64a[2986]:,disconnect,2,92.239.30.230,hotshot
2012-05-05T16:03:26.685197+00:00,sim64a[2986]:,disconnect,4,118.96.160.200,P1
2012-05-05T16:04:01.052370+00:00,sim64a[2986]:,connect,2,118.96.160.200,P1
2012-05-05T16:04:22.219704+00:00,sim64a[2986]:,disconnect,2,118.96.160.200,P1
2012-05-05T16:04:54.815660+00:00,sim64a[2986]:,connect,2,118.96.160.200,P1
2012-05-05T16:09:00.985403+00:00,sim64a[2986]:,disconnect,3,80.132.163.74,Client#2
2012-05-05T16:11:39.781774+00:00,sim64a[2986]:,connect,3,80.132.163.74,Client#2
2012-05-05T16:13:09.912000+00:00,sim64a[2986]:,disconnect,2,118.96.160.200,P1
2012-05-05T16:14:16.514152+00:00,sim64a[2986]:,connect,2,118.96.160.200,P1
2012-05-05T16:18:21.406912+00:00,sim64a[2986]:,disconnect,2,118.96.160.200,P1
2012-05-05T16:22:47.483928+00:00,sim64a[2986]:,connect,2,118.96.160.200,P1
2012-05-05T16:24:11.318686+00:00,sim64a[2986]:,connect,4,174.93.52.63,Client#4
2012-05-05T16:24:40.327702+00:00,sim64a[2986]:,disconnect,4,174.93.52.63,Client#4
2012-05-05T16:28:40.448061+00:00,sim64a[2986]:,connect,4,80.238.132.167,Client#4
2012-05-05T16:28:44.615547+00:00,sim64a[2986]:,disconnect,2,118.96.160.200,P1
2012-05-05T16:29:36.102686+00:00,sim64a[2986]:,connect,2,62.209.220.33,Client#2
2012-05-05T16:30:42.118110+00:00,sim64a[2986]:,connect,5,174.93.52.63,marterik231
2012-05-05T16:31:12.990902+00:00,sim64a[2986]:,chat,2,62.209.220.33,Client#2,15,,erik are you ther?
2012-05-05T16:32:02.730007+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,yes i am
2012-05-05T16:33:02.714000+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,u know what the password is
2012-05-05T16:33:07.448360+00:00,sim64a[2986]:,disconnect,2,62.209.220.33,Client#2
2012-05-05T16:33:33.028506+00:00,sim64a[2986]:,connect,2,62.209.220.33,David184
2012-05-05T16:33:58.595226+00:00,sim64a[2986]:,disconnect,4,80.238.132.167,Client#4
2012-05-05T16:34:18.079232+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,david what is the password
2012-05-05T16:35:46.798757+00:00,sim64a[2986]:,chat,2,62.209.220.33,David184,15,,idk what is the password
2012-05-05T16:36:01.472813+00:00,sim64a[2986]:,connect,4,118.96.160.200,Client#4
2012-05-05T16:36:45.341704+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,now where are u at?
2012-05-05T16:37:02.313686+00:00,sim64a[2986]:,chat,2,62.209.220.33,David184,15,,i will build + to show you where im
2012-05-05T16:37:21.335344+00:00,sim64a[2986]:,chat,2,62.209.220.33,David184,15,,but i cant build
2012-05-05T16:37:32.848618+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,i know
2012-05-05T16:37:48.050537+00:00,sim64a[2986]:,chat,5,174.93.52.63,marterik231,15,,brb
2012-05-05T16:38:43.957229+00:00,sim64a[2986]:,connect,6,186.99.229.249,Client#6
2012-05-05T16:39:59.648832+00:00,sim64a[2986]:,disconnect,5,174.93.52.63,marterik231
2012-05-05T16:41:09.727299+00:00,sim64a[2986]:,disconnect,6,186.99.229.249,Client#6
2012-05-05T16:42:30.774544+00:00,sim64a[2986]:,connect,5,174.93.52.63,marterik231
2012-05-05T16:42:58.023044+00:00,sim64a[2986]:,disconnect,2,62.209.220.33,David184
2012-05-05T16:43:02.822392+00:00,sim64a[2986]:,disconnect,4,118.96.160.200,Client#4
2012-05-05T16:44:00.106766+00:00,sim64a[2986]:,disconnect,5,174.93.52.63,marterik231
2012-05-05T16:46:34.553972+00:00,sim64a[2986]:,connect,2,180.3.212.63,Client#2
2012-05-05T16:46:57.520217+00:00,sim64a[2986]:,disconnect,2,180.3.212.63,Client#2
2012-05-05T18:07:22.594731+00:00,sim64a[2986]:,connect,2,88.72.237.178,Client#2
2012-05-05T18:07:56.645188+00:00,sim64a[2986]:,disconnect,2,88.72.237.178,Client#2
2012-05-05T18:41:02.119541+00:00,sim64a[2986]:,connect,2,98.141.195.146,Fifty
2012-05-05T18:44:56.491965+00:00,sim64a[2986]:,disconnect,2,98.141.195.146,Fifty
2012-05-05T18:48:50.089138+00:00,sim64a[2986]:,connect,2,98.141.195.146,Fifty
2012-05-05T18:49:39.701150+00:00,sim64a[2986]:,disconnect,2,98.141.195.146,Fifty
2012-05-05T18:56:44.729776+00:00,sim64a[2986]:,connect,2,85.157.22.22,daim
2012-05-05T18:57:10.176677+00:00,sim64a[2986]:,disconnect,3,80.132.163.74,Client#2
2012-05-05T18:58:13.699356+00:00,sim64a[2986]:,disconnect,2,85.157.22.22,daim
2012-05-05T21:13:20.388556+00:00,sim64a[2986]:,connect,2,177.63.24.142,Hafergos
2012-05-05T21:21:21.158825+00:00,sim64a[2986]:,disconnect,2,177.63.24.142,Hafergos
