2012-06-10T03:14:07.969017+00:00,sim64a[29095]:,disconnect,2,186.213.56.53,Victordiog
2012-06-10T03:14:07.969043+00:00,sim64a[29095]:,disconnect,3,98.141.195.146,Fifty
2012-06-10T03:14:33.202713+00:00,sim64a[29095]:,connect,4,60.246.184.87,penhong
2012-06-10T03:22:38.496766+00:00,sim64a[29095]:,disconnect,4,60.246.184.87,penhong
2012-06-10T03:54:16.982213+00:00,sim64a[29095]:,connect,2,58.93.165.116,Client#5
2012-06-10T04:37:09.024759+00:00,sim64a[29095]:,connect,3,125.161.27.204,sidiq
2012-06-10T09:31:55.110938+00:00,sim64a[29095]:,connect,4,188.60.163.126,Client#4
2012-06-10T09:32:22.778129+00:00,sim64a[29095]:,disconnect,2,58.93.165.116,Client#5
2012-06-10T09:32:22.778170+00:00,sim64a[29095]:,disconnect,3,125.161.27.204,sidiq
2012-06-10T09:32:22.778193+00:00,sim64a[29095]:,disconnect,4,188.60.163.126,Client#4
2012-06-10T09:32:31.690244+00:00,sim64a[29095]:,connect,5,188.60.163.126,Client#5
2012-06-10T11:19:35.774721+00:00,sim64a[29095]:,connect,2,88.130.73.130,matej
2012-06-10T11:30:34.498013+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T11:42:43.396250+00:00,sim64a[29095]:,disconnect,2,88.130.73.130,matej
2012-06-10T11:42:43.396299+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T11:42:43.396323+00:00,sim64a[29095]:,disconnect,5,188.60.163.126,Client#5
2012-06-10T11:43:21.751619+00:00,sim64a[29095]:,connect,4,60.246.184.87,penhong
2012-06-10T11:46:49.896072+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T11:49:52.523937+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T11:49:52.523995+00:00,sim64a[29095]:,disconnect,4,60.246.184.87,penhong
2012-06-10T11:50:25.627358+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T11:59:16.134237+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T12:05:38.609655+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T12:05:38.609707+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T12:06:01.083898+00:00,sim64a[29095]:,connect,4,60.246.184.87,penhong
2012-06-10T12:16:40.782767+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T12:31:27.111097+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T12:34:30.364303+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T12:34:30.364633+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T12:34:30.364936+00:00,sim64a[29095]:,disconnect,4,60.246.184.87,penhong
2012-06-10T12:35:07.951395+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T12:38:34.005813+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T12:39:08.535483+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T12:41:09.183192+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T12:41:46.846795+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T12:43:23.053214+00:00,sim64a[29095]:,connect,2,77.53.198.139,Client#2
2012-06-10T12:45:12.148357+00:00,sim64a[29095]:,disconnect,2,77.53.198.139,Client#2
2012-06-10T12:47:17.945058+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T12:50:12.085970+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T12:50:12.086008+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T12:50:37.658286+00:00,sim64a[29095]:,connect,4,60.246.184.87,penhong
2012-06-10T13:00:19.592943+00:00,sim64a[29095]:,disconnect,4,60.246.184.87,penhong
2012-06-10T13:02:10.946959+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T13:12:08.363045+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T13:19:04.381278+00:00,sim64a[29095]:,connect,4,60.246.184.87,penhong
2012-06-10T13:24:47.751839+00:00,sim64a[29095]:,connect,5,60.246.184.87,penhong
2012-06-10T13:33:01.605170+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T13:33:01.605203+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T13:33:01.605225+00:00,sim64a[29095]:,disconnect,4,60.246.184.87,penhong
2012-06-10T13:33:01.605245+00:00,sim64a[29095]:,disconnect,5,60.246.184.87,penhong
2012-06-10T13:33:39.412082+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T13:44:41.067193+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T13:45:23.810173+00:00,sim64a[29095]:,connect,3,60.246.184.87,penhong
2012-06-10T13:50:09.449379+00:00,sim64a[29095]:,connect,2,118.86.228.190,のぞみん
2012-06-10T13:52:03.625239+00:00,sim64a[29095]:,disconnect,2,118.86.228.190,のぞみん
2012-06-10T13:55:10.824283+00:00,sim64a[29095]:,disconnect,3,60.246.184.87,penhong
2012-06-10T13:56:06.013322+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T13:59:46.951673+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T15:04:59.398941+00:00,sim64a[29095]:,connect,2,60.246.184.87,penhong
2012-06-10T15:43:14.219186+00:00,sim64a[29095]:,connect,3,98.141.195.146,Fifty
2012-06-10T16:03:42.055516+00:00,sim64a[29095]:,connect,4,98.141.195.146,Fifty
2012-06-10T16:06:58.679772+00:00,sim64a[29095]:,connect,5,86.25.40.47,Client#5
2012-06-10T16:06:58.774358+00:00,sim64a[29095]:,disconnect,2,60.246.184.87,penhong
2012-06-10T16:06:58.774398+00:00,sim64a[29095]:,disconnect,3,98.141.195.146,Fifty
2012-06-10T16:18:02.770434+00:00,sim64a[29095]:,disconnect,5,86.25.40.47,Client#5
2012-06-10T16:23:42.711604+00:00,sim64a[29095]:,connect,2,201.92.201.6,Client#2
2012-06-10T16:25:48.734877+00:00,sim64a[29095]:,disconnect,2,201.92.201.6,Client#2
2012-06-10T16:26:49.727531+00:00,sim64a[29095]:,connect,2,201.83.92.216,edson
2012-06-10T16:29:46.022783+00:00,sim64a[29095]:,disconnect,2,201.83.92.216,edson
2012-06-10T16:30:14.940905+00:00,sim64a[29095]:,connect,2,201.83.92.216,edson
2012-06-10T16:31:15.631001+00:00,sim64a[29095]:,disconnect,2,201.83.92.216,edson
