2012-07-14T02:36:24.501339+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-14T02:36:24.501607+00:00,sim64a[1453]:,disconnect,4,69.138.176.94,Fifty
2012-07-14T02:36:38.580237+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T02:48:31.862756+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T02:49:36.024652+00:00,sim64a[1453]:,connect,4,69.138.176.94,Fifty
2012-07-14T02:49:36.202207+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T02:50:20.678333+00:00,sim64a[1453]:,disconnect,4,69.138.176.94,Fifty
2012-07-14T02:55:42.076282+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T02:59:58.130257+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T02:59:58.130314+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T03:00:22.828680+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T07:39:01.968226+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-14T07:50:43.443931+00:00,sim64a[1453]:,connect,4,178.8.212.30,Client#3
2012-07-14T07:50:43.510826+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T08:00:21.899678+00:00,sim64a[1453]:,disconnect,4,178.8.212.30,Client#3
2012-07-14T08:35:06.897473+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T08:37:45.879253+00:00,sim64a[1453]:,connect,4,60.246.154.92,penhong
2012-07-14T08:37:46.013744+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-14T08:41:52.577249+00:00,sim64a[1453]:,disconnect,4,60.246.154.92,penhong
2012-07-14T08:42:15.943739+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T08:43:53.502555+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-14T08:43:53.599199+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T08:44:53.755652+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-14T08:45:07.244231+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T08:48:53.695979+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T08:49:17.537709+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T08:56:18.063292+00:00,sim64a[1453]:,connect,4,94.222.78.206,Client#4
2012-07-14T08:56:18.200524+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T08:57:31.476180+00:00,sim64a[1453]:,disconnect,4,94.222.78.206,Client#4
2012-07-14T09:00:11.477039+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:00:36.517047+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:11:52.268937+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-14T09:13:27.523577+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:13:52.615700+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:18:01.146872+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:19:09.051304+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:21:49.064888+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:22:17.517043+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:25:01.568679+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:25:26.299968+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:27:00.190521+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:27:49.448296+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T09:30:40.942572+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T09:32:04.700807+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-14T09:32:13.317209+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T09:32:51.226371+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T09:38:28.918215+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T09:38:52.851422+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T09:40:05.145479+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T09:40:33.213693+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T09:42:21.427802+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T09:42:45.938920+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T09:43:53.792077+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T09:44:05.808833+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T09:51:08.340816+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T09:51:28.157324+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T09:54:07.130556+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T09:54:30.451782+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T09:55:54.509138+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T09:56:17.016460+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T10:01:53.871296+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T10:02:08.699932+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T10:10:40.911743+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T10:12:50.208861+00:00,sim64a[1453]:,connect,3,60.246.154.92,penhong
2012-07-14T10:18:53.588579+00:00,sim64a[1453]:,connect,4,85.127.253.75,Client#4
2012-07-14T10:27:28.093056+00:00,sim64a[1453]:,connect,5,91.18.21.181,Tobi
2012-07-14T10:27:56.022838+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T10:35:34.333973+00:00,sim64a[1453]:,connect,2,87.173.219.57,Client#2
2012-07-14T10:36:51.230122+00:00,sim64a[1453]:,disconnect,2,87.173.219.57,Client#2
2012-07-14T10:36:52.185228+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T10:37:17.534953+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:39:46.307814+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:40:15.051385+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:44:14.663808+00:00,sim64a[1453]:,disconnect,4,85.127.253.75,Client#4
2012-07-14T10:45:42.508986+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:47:49.229216+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:51:06.719984+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:51:57.751293+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:57:40.882993+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:58:05.747490+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T11:01:28.280631+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T13:38:51.364632+00:00,sim64a[1453]:,disconnect,5,91.18.21.181,Tobi
2012-07-14T13:38:59.937542+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:00:46.146654+00:00,sim64a[1453]:,connect,3,201.95.176.119,Client#3
2012-07-14T14:13:45.839607+00:00,sim64a[1453]:,disconnect,3,201.95.176.119,Client#3
2012-07-14T14:20:14.634718+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:26:04.548153+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-14T14:26:04.615557+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:36:45.565194+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-14T14:36:58.723040+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:44:55.497961+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T14:46:38.073140+00:00,sim64a[1453]:,connect,3,201.95.176.119,Client#3
2012-07-14T14:48:05.403300+00:00,sim64a[1453]:,disconnect,3,201.95.176.119,Client#3
2012-07-14T14:48:31.164646+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:52:45.618016+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:52:58.562422+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:54:23.496054+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T14:54:57.542338+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:57:45.555598+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:57:58.692836+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T15:00:59.745665+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T15:01:34.968729+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T15:02:45.582588+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
