2012-07-17T01:13:06.558564+00:00,sim64a[1453]:,disconnect,2,91.18.16.227,Tobi
2012-07-17T01:13:06.558876+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-17T01:13:20.338509+00:00,sim64a[1453]:,connect,4,189.41.153.83,Client#4
2012-07-17T01:13:25.629474+00:00,sim64a[1453]:,disconnect,4,189.41.153.83,Client#4
2012-07-17T02:22:02.277348+00:00,sim64a[1453]:,connect,2,60.246.152.31,penhong
2012-07-17T02:48:04.410443+00:00,sim64a[1453]:,disconnect,2,60.246.152.31,penhong
2012-07-17T02:58:11.174994+00:00,sim64a[1453]:,connect,2,60.246.152.31,penhong
2012-07-17T06:32:22.691044+00:00,sim64a[1453]:,disconnect,2,60.246.152.31,penhong
2012-07-17T06:32:32.302184+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T06:50:54.837835+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T06:56:32.836568+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T07:09:26.580161+00:00,sim64a[1453]:,connect,5,87.12.59.180,gimi
2012-07-17T07:40:00.101350+00:00,sim64a[1453]:,connect,6,87.12.59.180,gimi
2012-07-17T07:42:18.148932+00:00,sim64a[1453]:,connect,7,217.194.162.112,JohnBlack
2012-07-17T07:42:18.244344+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T07:42:18.244669+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T07:42:18.244971+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T07:42:18.245284+00:00,sim64a[1453]:,disconnect,5,87.12.59.180,gimi
2012-07-17T08:20:12.645230+00:00,sim64a[1453]:,disconnect,6,87.12.59.180,gimi
2012-07-17T08:20:26.572344+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T08:27:50.187924+00:00,sim64a[1453]:,disconnect,7,217.194.162.112,JohnBlack
2012-07-17T08:52:43.628901+00:00,sim64a[1453]:,connect,3,60.246.154.180,penhong
2012-07-17T08:56:45.169131+00:00,sim64a[1453]:,disconnect,3,60.246.154.180,penhong
2012-07-17T08:59:51.872907+00:00,sim64a[1453]:,connect,3,123.134.195.145,Client#3
2012-07-17T09:01:51.117312+00:00,sim64a[1453]:,connect,4,60.246.154.180,penhong
2012-07-17T09:03:31.250613+00:00,sim64a[1453]:,disconnect,4,60.246.154.180,penhong
2012-07-17T09:04:17.074049+00:00,sim64a[1453]:,connect,4,60.246.154.180,penhong
2012-07-17T09:07:45.050502+00:00,sim64a[1453]:,disconnect,4,60.246.154.180,penhong
2012-07-17T09:07:45.205380+00:00,sim64a[1453]:,disconnect,3,123.134.195.145,Client#3
2012-07-17T09:08:10.693519+00:00,sim64a[1453]:,connect,3,60.246.154.180,penhong
2012-07-17T09:10:53.147558+00:00,sim64a[1453]:,disconnect,3,60.246.154.180,penhong
2012-07-17T09:15:04.856289+00:00,sim64a[1453]:,connect,3,60.246.154.180,penhong
2012-07-17T09:15:23.429161+00:00,sim64a[1453]:,disconnect,3,60.246.154.180,penhong
2012-07-17T09:15:58.067512+00:00,sim64a[1453]:,connect,3,60.246.154.180,penhong
2012-07-17T09:16:39.438589+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:17:11.656334+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:18:12.750272+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:21:20.157121+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:23:12.691003+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:23:25.503620+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:25:50.481184+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:26:08.515299+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:27:12.769810+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:27:26.764366+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:33:12.819253+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:33:28.259391+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T09:39:35.075568+00:00,sim64a[1453]:,disconnect,3,60.246.154.180,penhong
2012-07-17T09:42:13.295739+00:00,sim64a[1453]:,connect,3,60.246.154.180,penhong
2012-07-17T09:46:12.709501+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T09:51:04.959183+00:00,sim64a[1453]:,connect,2,123.134.195.145,spidttt
2012-07-17T09:55:29.452892+00:00,sim64a[1453]:,disconnect,2,123.134.195.145,spidttt
2012-07-17T10:04:24.759741+00:00,sim64a[1453]:,disconnect,3,60.246.154.180,penhong
2012-07-17T10:05:34.825165+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T10:32:23.917700+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T10:44:05.548993+00:00,sim64a[1453]:,connect,2,91.52.117.144,Client#2
2012-07-17T10:44:47.760900+00:00,sim64a[1453]:,disconnect,2,91.52.117.144,Client#2
2012-07-17T11:12:25.838562+00:00,sim64a[1453]:,connect,2,93.231.166.192,xlfx
2012-07-17T12:16:28.754469+00:00,sim64a[1453]:,connect,3,217.194.162.112,JohnBlack
2012-07-17T13:29:26.477852+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T13:31:55.550251+00:00,sim64a[1453]:,connect,5,217.194.162.112,JohnBlack
2012-07-17T13:31:55.630806+00:00,sim64a[1453]:,disconnect,2,93.231.166.192,xlfx
2012-07-17T13:31:55.631080+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-17T13:36:28.885117+00:00,sim64a[1453]:,disconnect,5,217.194.162.112,JohnBlack
2012-07-17T13:52:49.517359+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:06:29.408919+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:11:33.570219+00:00,sim64a[1453]:,connect,3,60.246.152.113,Client#3
2012-07-17T14:15:28.216786+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:16:29.431068+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:16:43.245994+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:19:04.500211+00:00,sim64a[1453]:,disconnect,3,60.246.152.113,Client#3
2012-07-17T14:19:54.047683+00:00,sim64a[1453]:,connect,3,60.246.152.113,Client#3
2012-07-17T14:22:29.340146+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:22:43.642646+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:26:21.260069+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:26:43.180692+00:00,sim64a[1453]:,disconnect,3,60.246.152.113,Client#3
2012-07-17T14:27:34.630697+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:31:58.442227+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:33:38.278223+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:35:51.932936+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:36:38.067127+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:38:29.439382+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:38:43.341716+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T14:40:15.834301+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:41:06.249766+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T14:44:45.398582+00:00,sim64a[1453]:,connect,4,60.246.152.113,penhong
2012-07-17T14:44:45.577156+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T14:47:29.413590+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T14:57:28.023505+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T15:16:58.026818+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T15:16:58.125816+00:00,sim64a[1453]:,disconnect,4,60.246.152.113,penhong
