2012-07-18T02:41:37.788389+00:00,sim64a[1453]:,disconnect,3,98.141.195.146,Fifty
2012-07-18T02:41:54.743741+00:00,sim64a[1453]:,connect,2,60.246.187.233,penhong
2012-07-18T02:50:48.633782+00:00,sim64a[1453]:,connect,3,60.246.187.233,penhong
2012-07-18T03:10:26.424311+00:00,sim64a[1453]:,disconnect,2,60.246.187.233,penhong
2012-07-18T03:10:26.424722+00:00,sim64a[1453]:,disconnect,3,60.246.187.233,penhong
2012-07-18T03:10:44.300231+00:00,sim64a[1453]:,connect,4,60.246.187.233,penhong
2012-07-18T03:14:59.833671+00:00,sim64a[1453]:,disconnect,4,60.246.187.233,penhong
2012-07-18T05:33:52.527940+00:00,sim64a[1453]:,connect,2,60.246.183.211,penhong
2012-07-18T06:09:10.245302+00:00,sim64a[1453]:,connect,3,217.194.162.112,JohnBlack
2012-07-18T06:13:19.588187+00:00,sim64a[1453]:,connect,4,60.246.183.211,penhong
2012-07-18T06:13:19.684417+00:00,sim64a[1453]:,disconnect,2,60.246.183.211,penhong
2012-07-18T06:15:13.123244+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-18T06:15:31.115842+00:00,sim64a[1453]:,connect,2,217.194.162.112,JohnBlack
2012-07-18T06:17:08.609385+00:00,sim64a[1453]:,disconnect,4,60.246.183.211,penhong
2012-07-18T07:40:09.781874+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-18T07:41:02.035902+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-18T07:41:02.036180+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-18T07:41:47.498139+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T07:42:17.636963+00:00,sim64a[1453]:,connect,3,217.194.162.112,JohnBlack
2012-07-18T07:43:50.896031+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-18T08:24:25.214192+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T08:24:34.753469+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-18T08:34:02.781427+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-18T08:34:12.410176+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T08:46:58.246278+00:00,sim64a[1453]:,connect,3,217.194.162.112,JohnBlack
2012-07-18T08:57:21.981002+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T10:20:13.450997+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T11:32:52.970180+00:00,sim64a[1453]:,connect,4,60.246.191.169,penhong
2012-07-18T11:59:08.916093+00:00,sim64a[1453]:,connect,5,60.246.191.169,penhong
2012-07-18T13:15:31.022859+00:00,sim64a[1453]:,connect,6,217.194.162.112,JohnBlack
2012-07-18T13:50:11.146862+00:00,sim64a[1453]:,connect,7,87.12.59.180,gimi
2012-07-18T14:09:20.274435+00:00,sim64a[1453]:,connect,8,60.246.191.169,penhong
2012-07-18T14:09:20.358926+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T14:09:20.359058+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-18T14:09:20.359175+00:00,sim64a[1453]:,disconnect,4,60.246.191.169,penhong
2012-07-18T14:09:20.359417+00:00,sim64a[1453]:,disconnect,5,60.246.191.169,penhong
2012-07-18T14:09:20.359555+00:00,sim64a[1453]:,disconnect,6,217.194.162.112,JohnBlack
2012-07-18T14:09:41.283660+00:00,sim64a[1453]:,disconnect,7,87.12.59.180,gimi
2012-07-18T14:10:22.319468+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T14:17:25.497722+00:00,sim64a[1453]:,disconnect,8,60.246.191.169,penhong
2012-07-18T14:18:53.363220+00:00,sim64a[1453]:,connect,3,60.246.191.169,penhong
2012-07-18T14:24:24.581305+00:00,sim64a[1453]:,disconnect,3,60.246.191.169,penhong
2012-07-18T14:25:04.625335+00:00,sim64a[1453]:,connect,3,60.246.191.169,penhong
2012-07-18T14:27:01.637270+00:00,sim64a[1453]:,disconnect,3,60.246.191.169,penhong
2012-07-18T14:27:55.511643+00:00,sim64a[1453]:,connect,3,60.246.191.169,penhong
2012-07-18T14:28:24.244817+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T14:28:44.712894+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T14:30:58.466066+00:00,sim64a[1453]:,connect,4,217.194.162.112,JohnBlack
2012-07-18T14:32:45.882779+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T14:33:02.575748+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T14:34:39.351001+00:00,sim64a[1453]:,disconnect,3,60.246.191.169,penhong
2012-07-18T14:35:20.624530+00:00,sim64a[1453]:,connect,3,67.6.123.19,Simbot34
2012-07-18T14:35:45.914296+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T14:36:02.301967+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T14:37:28.249566+00:00,sim64a[1453]:,connect,5,81.173.153.139,trian
2012-07-18T14:38:25.538613+00:00,sim64a[1453]:,connect,6,67.6.123.19,Client#6
2012-07-18T14:38:57.915773+00:00,sim64a[1453]:,disconnect,3,67.6.123.19,Simbot34
2012-07-18T14:38:57.916030+00:00,sim64a[1453]:,disconnect,6,67.6.123.19,Client#6
2012-07-18T14:39:30.837680+00:00,sim64a[1453]:,connect,3,67.6.123.19,Simbot34
2012-07-18T14:40:27.302520+00:00,sim64a[1453]:,connect,6,60.246.191.169,penhong
2012-07-18T14:40:41.728446+00:00,sim64a[1453]:,connect,7,67.6.123.19,Simbot34
2012-07-18T14:40:41.864989+00:00,sim64a[1453]:,disconnect,3,67.6.123.19,Simbot34
2012-07-18T14:40:41.865073+00:00,sim64a[1453]:,disconnect,4,217.194.162.112,JohnBlack
2012-07-18T14:40:55.303487+00:00,sim64a[1453]:,disconnect,7,67.6.123.19,Simbot34
2012-07-18T14:41:30.550925+00:00,sim64a[1453]:,connect,3,67.6.123.19,Simbot34
2012-07-18T14:43:23.081252+00:00,sim64a[1453]:,chat,3,67.6.123.19,Simbot34,9,Player 8,hello.
2012-07-18T14:43:55.310939+00:00,sim64a[1453]:,chat,6,60.246.191.169,penhong,15,,hi
2012-07-18T14:44:59.241537+00:00,sim64a[1453]:,disconnect,6,60.246.191.169,penhong
2012-07-18T14:45:00.682441+00:00,sim64a[1453]:,disconnect,5,81.173.153.139,trian
2012-07-18T14:45:54.245544+00:00,sim64a[1453]:,connect,4,60.246.191.169,penhong
2012-07-18T14:49:27.102614+00:00,sim64a[1453]:,disconnect,4,60.246.191.169,penhong
2012-07-18T14:54:09.984581+00:00,sim64a[1453]:,disconnect,3,67.6.123.19,Simbot34
