2012-07-20T00:01:46.658246+00:00,sim64a[1453]:,disconnect,2,122.151.149.101,Raymond
2012-07-20T00:01:46.658579+00:00,sim64a[1453]:,disconnect,3,67.6.123.19,Simbot34
2012-07-20T00:01:59.119903+00:00,sim64a[1453]:,connect,4,67.6.123.19,Simbot34
2012-07-20T00:14:43.309877+00:00,sim64a[1453]:,chat,4,67.6.123.19,Simbot34,9,simbot airways,i finaly found out hw to make trams :D
2012-07-20T00:23:39.935946+00:00,sim64a[1453]:,disconnect,4,67.6.123.19,Simbot34
2012-07-20T02:42:50.847357+00:00,sim64a[1453]:,connect,2,60.246.189.49,penhong
2012-07-20T03:01:51.622130+00:00,sim64a[1453]:,disconnect,2,60.246.189.49,penhong
2012-07-20T03:02:17.727073+00:00,sim64a[1453]:,connect,2,60.246.189.49,penhong
2012-07-20T03:19:36.259063+00:00,sim64a[1453]:,disconnect,2,60.246.189.49,penhong
2012-07-20T03:25:21.299282+00:00,sim64a[1453]:,connect,2,60.246.189.49,penhong
2012-07-20T05:04:32.389153+00:00,sim64a[1453]:,connect,3,88.69.5.176,Client#3
2012-07-20T07:29:14.561888+00:00,sim64a[1453]:,disconnect,2,60.246.189.49,penhong
2012-07-20T07:29:14.562084+00:00,sim64a[1453]:,disconnect,3,88.69.5.176,Client#3
2012-07-20T07:29:23.532354+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-20T08:07:17.350594+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-20T08:26:44.900845+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
2012-07-20T08:26:45.082816+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,JohnBlack
2012-07-20T08:36:02.356638+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-20T08:36:17.801332+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
2012-07-20T08:39:02.338411+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-20T08:39:17.968639+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
2012-07-20T08:43:02.423900+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-20T08:43:18.733523+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
