2012-08-18T10:22:41.445954+00:00,sim64a[1453]:,disconnect,3,151.55.10.246,Rudi!
2012-08-18T10:22:41.446114+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,Client#10
2012-08-18T10:22:41.446333+00:00,sim64a[1453]:,disconnect,5,88.165.36.112,Client#5
2012-08-18T10:23:03.924100+00:00,sim64a[1453]:,connect,6,217.95.220.51,Jarno
2012-08-18T10:23:44.426510+00:00,sim64a[1453]:,disconnect,6,217.95.220.51,Jarno
2012-08-18T13:41:47.425359+00:00,sim64a[1453]:,connect,3,87.154.86.37,Client#3
2012-08-18T14:38:53.919410+00:00,sim64a[1453]:,disconnect,3,87.154.86.37,Client#3
2012-08-18T14:39:07.428023+00:00,sim64a[1453]:,connect,4,78.128.195.151,Client#10
2012-08-18T16:11:15.976037+00:00,sim64a[1453]:,connect,3,78.128.195.151,Client#10
2012-08-18T23:11:24.333936+00:00,sim64a[1453]:,connect,5,71.202.122.78,deboer
2012-08-18T23:15:19.955578+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,Client#10
2012-08-18T23:15:19.955729+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,Client#10
2012-08-18T23:15:19.955755+00:00,sim64a[1453]:,disconnect,5,71.202.122.78,deboer
