2012-09-09T01:49:52.999289+00:00,sim64a[22026]:,disconnect,2,69.62.163.30,Arcane
2012-09-09T01:49:52.999330+00:00,sim64a[22026]:,disconnect,3,60.56.128.111,Client#3
2012-09-09T01:49:52.999353+00:00,sim64a[22026]:,disconnect,4,114.79.54.4,kentut
2012-09-09T01:49:52.999377+00:00,sim64a[22026]:,disconnect,6,178.43.232.68,kajtek33
2012-09-09T01:49:59.094756+00:00,sim64a[22026]:,connect,5,177.140.73.29,Client#5
2012-09-09T01:53:53.496721+00:00,sim64a[22026]:,connect,2,114.79.55.127,Client#2
2012-09-09T01:54:39.024405+00:00,sim64a[22026]:,disconnect,5,177.140.73.29,Client#5
2012-09-09T01:54:47.342496+00:00,sim64a[22026]:,disconnect,2,114.79.55.127,Client#2
2012-09-09T05:31:46.892963+00:00,sim64a[22026]:,connect,2,88.156.173.234,Client#2
2012-09-09T06:51:16.892976+00:00,sim64a[22026]:,connect,3,80.101.227.10,rikrunner
2012-09-09T07:01:03.882236+00:00,sim64a[22026]:,connect,4,80.101.227.10,Client#4
2012-09-09T08:06:56.881856+00:00,sim64a[22026]:,disconnect,2,88.156.173.234,Client#2
2012-09-09T08:06:56.881905+00:00,sim64a[22026]:,disconnect,3,80.101.227.10,rikrunner
2012-09-09T08:06:56.881926+00:00,sim64a[22026]:,disconnect,4,80.101.227.10,Client#4
2012-09-09T08:07:01.905420+00:00,sim64a[22026]:,connect,5,80.101.227.10,Client#4
2012-09-09T08:08:55.650693+00:00,sim64a[22026]:,connect,2,78.45.208.173,Client#2
2012-09-09T08:59:50.883102+00:00,sim64a[22026]:,connect,3,91.18.23.36,Tobi
2012-09-09T16:03:09.594585+00:00,sim64a[22026]:,disconnect,2,78.45.208.173,Client#2
2012-09-09T16:03:09.594811+00:00,sim64a[22026]:,disconnect,3,91.18.23.36,Tobi
2012-09-09T16:03:09.595023+00:00,sim64a[22026]:,disconnect,5,80.101.227.10,Client#4
2012-09-09T16:03:14.598320+00:00,sim64a[22026]:,connect,4,88.130.88.49,matej
2012-09-09T16:04:17.242415+00:00,sim64a[22026]:,connect,2,114.38.72.201,taitsai
2012-09-09T16:05:29.212257+00:00,sim64a[22026]:,disconnect,2,114.38.72.201,taitsai
2012-09-09T16:07:01.054600+00:00,sim64a[22026]:,disconnect,4,88.130.88.49,matej
2012-09-09T16:08:14.462851+00:00,sim64a[22026]:,connect,2,88.130.88.49,matej
2012-09-09T17:09:33.471401+00:00,sim64a[22026]:,disconnect,2,88.130.88.49,matej
2012-09-09T17:31:11.575450+00:00,sim64a[22026]:,connect,2,82.202.65.26,Hanz
2012-09-09T18:47:19.100856+00:00,sim64a[22026]:,connect,3,200.96.143.202,Marcelo
2012-09-09T19:15:21.169901+00:00,sim64a[22026]:,connect,4,189.90.43.2,araujo2012
2012-09-09T20:47:25.587840+00:00,sim64a[22026]:,disconnect,2,82.202.65.26,Hanz
2012-09-09T20:47:25.587894+00:00,sim64a[22026]:,disconnect,3,200.96.143.202,Marcelo
2012-09-09T20:47:25.587919+00:00,sim64a[22026]:,disconnect,4,189.90.43.2,araujo2012
2012-09-09T20:47:30.766626+00:00,sim64a[22026]:,connect,5,92.230.80.251,Client#3
2012-09-09T21:03:47.376176+00:00,sim64a[22026]:,connect,2,91.18.23.36,Tobi
2012-09-09T21:08:17.063149+00:00,sim64a[22026]:,disconnect,2,91.18.23.36,Tobi
