2012-09-16T08:40:23.721558+00:00,sim64a[22026]:,disconnect,2,85.237.170.102,PAWEL
2012-09-16T08:40:29.110355+00:00,sim64a[22026]:,connect,3,92.245.194.234,mrk
2012-09-16T08:42:14.559559+00:00,sim64a[22026]:,disconnect,3,92.245.194.234,mrk
2012-09-16T08:47:13.038124+00:00,sim64a[22026]:,connect,2,109.211.119.76,Elole
2012-09-16T08:52:36.534513+00:00,sim64a[22026]:,connect,3,91.18.11.120,Tobi
2012-09-16T15:18:45.961119+00:00,sim64a[22026]:,connect,4,109.228.161.219,Client#6
2012-09-16T15:21:38.260919+00:00,sim64a[22026]:,connect,5,83.22.179.47,Lotr
2012-09-16T15:21:38.435185+00:00,sim64a[22026]:,disconnect,2,109.211.119.76,Elole
2012-09-16T15:21:38.435214+00:00,sim64a[22026]:,disconnect,3,91.18.11.120,Tobi
2012-09-16T15:22:46.751114+00:00,sim64a[22026]:,disconnect,4,109.228.161.219,Client#6
2012-09-16T15:23:17.631865+00:00,sim64a[22026]:,disconnect,5,83.22.179.47,Lotr
2012-09-16T15:24:32.548510+00:00,sim64a[22026]:,connect,2,195.116.41.2,Client#2
2012-09-16T18:55:52.302888+00:00,sim64a[22026]:,connect,3,93.208.101.39,BOfH
2012-09-16T19:00:47.711867+00:00,sim64a[22026]:,disconnect,2,195.116.41.2,Client#2
2012-09-16T19:00:47.712052+00:00,sim64a[22026]:,disconnect,3,93.208.101.39,BOfH
2012-09-16T19:24:10.505393+00:00,sim64a[22026]:,connect,2,201.83.93.209,Client#2
2012-09-16T20:58:21.385418+00:00,sim64a[22026]:,disconnect,2,201.83.93.209,Client#2
2012-09-16T20:58:26.552815+00:00,sim64a[22026]:,connect,3,85.102.173.252,Client#3
2012-09-16T21:06:21.871228+00:00,sim64a[22026]:,connect,2,89.78.186.194,Client#2
2012-09-16T21:13:53.433463+00:00,sim64a[22026]:,connect,4,181.29.102.142,Client#4
2012-09-16T21:13:53.485687+00:00,sim64a[22026]:,disconnect,3,85.102.173.252,Client#3
2012-09-16T21:24:20.682859+00:00,sim64a[22026]:,disconnect,2,89.78.186.194,Client#2
2012-09-16T23:40:49.822035+00:00,sim64a[22026]:,disconnect,4,181.29.102.142,Client#4
2012-09-16T23:41:01.341009+00:00,sim64a[22026]:,connect,2,201.173.79.20,Client#2
2012-09-16T23:49:25.992037+00:00,sim64a[22026]:,disconnect,2,201.173.79.20,Client#2
