2012-09-23T00:26:11.028152+00:00,sim64a[22026]:,disconnect,2,187.14.95.158,petsd
2012-09-23T06:00:11.869246+00:00,sim64a[22026]:,connect,2,189.65.236.94,RafaeljaGH
2012-09-23T06:04:31.158679+00:00,sim64a[22026]:,disconnect,2,189.65.236.94,RafaeljaGH
2012-09-23T06:13:08.604557+00:00,sim64a[22026]:,connect,2,80.132.151.8,Client#6
2012-09-23T09:49:39.281316+00:00,sim64a[22026]:,disconnect,2,80.132.151.8,Client#6
2012-09-23T09:49:44.068523+00:00,sim64a[22026]:,connect,3,91.18.12.66,Tobi
2012-09-23T12:31:59.996000+00:00,sim64a[22026]:,connect,2,201.212.5.76,Client#2
2012-09-23T12:32:57.647926+00:00,sim64a[22026]:,disconnect,2,201.212.5.76,Client#2
2012-09-23T12:32:57.648336+00:00,sim64a[22026]:,disconnect,3,91.18.12.66,Tobi
2012-09-23T13:03:02.124554+00:00,sim64a[22026]:,connect,2,62.255.77.139,Client#2
2012-09-23T17:21:22.113454+00:00,sim64a[22026]:,disconnect,2,62.255.77.139,Client#2
2012-09-23T17:21:27.993004+00:00,sim64a[22026]:,connect,3,88.165.36.112,Client#5
2012-09-23T21:40:52.782103+00:00,sim64a[22026]:,connect,2,89.155.122.64,Diogo
2012-09-23T21:52:00.445176+00:00,sim64a[22026]:,disconnect,2,89.155.122.64,Diogo
2012-09-23T21:52:00.445201+00:00,sim64a[22026]:,disconnect,3,88.165.36.112,Client#5
2012-09-23T21:52:06.603674+00:00,sim64a[22026]:,connect,5,89.155.122.64,Diogo
2012-09-23T22:46:51.401182+00:00,sim64a[22026]:,connect,2,108.89.126.177,Client#2
