2012-10-21T01:36:49.913457+00:00,sim64a[26582]:,disconnect,2,69.73.252.212,French Steph
2012-10-21T01:36:49.913496+00:00,sim64a[26582]:,disconnect,3,78.149.235.120,Client#2
2012-10-21T01:36:58.162169+00:00,sim64a[26582]:,connect,4,174.126.145.238,Lunawolfe3
2012-10-21T01:40:12.713361+00:00,sim64a[26582]:,chat,4,174.126.145.238,Lunawolfe3,15,,how  can i build
2012-10-21T10:16:21.093070+00:00,sim64a[26582]:,connect,2,93.195.12.181,Client#4
2012-10-21T11:16:20.464096+00:00,sim64a[26582]:,connect,3,46.33.112.70,Tomassimon.cz
2012-10-21T11:19:22.274964+00:00,sim64a[26582]:,disconnect,2,93.195.12.181,Client#4
2012-10-21T11:19:22.275280+00:00,sim64a[26582]:,disconnect,3,46.33.112.70,Tomassimon.cz
2012-10-21T11:19:22.275596+00:00,sim64a[26582]:,disconnect,4,174.126.145.238,Lunawolfe3
2012-10-21T11:48:48.040820+00:00,sim64a[26582]:,connect,2,93.195.12.181,Client#4
2012-10-21T11:55:21.701596+00:00,sim64a[26582]:,connect,3,85.181.68.189,Client#3
2012-10-21T12:06:06.266288+00:00,sim64a[26582]:,disconnect,2,93.195.12.181,Client#4
2012-10-21T12:06:06.266343+00:00,sim64a[26582]:,disconnect,3,85.181.68.189,Client#3
2012-10-21T12:06:14.616110+00:00,sim64a[26582]:,connect,4,27.94.142.18,yama
2012-10-21T12:14:58.377043+00:00,sim64a[26582]:,connect,2,82.2.137.105,Client#2
2012-10-21T13:47:08.394015+00:00,sim64a[26582]:,disconnect,2,82.2.137.105,Client#2
2012-10-21T13:47:08.394047+00:00,sim64a[26582]:,disconnect,4,27.94.142.18,yama
2012-10-21T13:47:19.629926+00:00,sim64a[26582]:,connect,3,187.113.84.113,Decay
2012-10-21T13:53:26.593793+00:00,sim64a[26582]:,connect,2,174.126.145.238,Lunawolfe3
2012-10-21T13:54:23.145618+00:00,sim64a[26582]:,chat,2,174.126.145.238,Lunawolfe3,15,,any one here
2012-10-21T17:19:37.524835+00:00,sim64a[26582]:,disconnect,2,174.126.145.238,Lunawolfe3
2012-10-21T17:19:37.524867+00:00,sim64a[26582]:,disconnect,3,187.113.84.113,Decay
2012-10-21T17:19:44.337203+00:00,sim64a[26582]:,connect,4,77.1.202.100,Nilgün
2012-10-21T19:26:17.427807+00:00,sim64a[26582]:,connect,2,83.11.231.123,Client#2
2012-10-21T19:29:52.759563+00:00,sim64a[26582]:,connect,3,83.11.231.123,koszczer
2012-10-21T19:33:50.405708+00:00,sim64a[26582]:,connect,5,89.72.192.78,Ununul
2012-10-21T19:33:50.540201+00:00,sim64a[26582]:,disconnect,2,83.11.231.123,Client#2
2012-10-21T19:33:50.540271+00:00,sim64a[26582]:,disconnect,4,77.1.202.100,Nilgün
2012-10-21T19:35:49.416660+00:00,sim64a[26582]:,disconnect,5,89.72.192.78,Ununul
2012-10-21T19:35:50.532746+00:00,sim64a[26582]:,disconnect,3,83.11.231.123,koszczer
2012-10-21T19:45:37.026287+00:00,sim64a[26582]:,connect,2,83.11.231.123,koszczer
2012-10-21T19:46:13.794223+00:00,sim64a[26582]:,disconnect,2,83.11.231.123,koszczer
2012-10-21T21:58:53.045404+00:00,sim64a[26582]:,connect,2,146.135.100.246,stran01
