2012-10-22T06:41:14.512071+00:00,sim64a[26582]:,disconnect,2,146.135.100.246,stran01
2012-10-22T06:41:24.071335+00:00,sim64a[26582]:,connect,3,126.123.114.140,Client#7
2012-10-22T07:15:31.941643+00:00,sim64a[26582]:,connect,2,121.150.204.151,Client#2
2012-10-22T11:07:21.343902+00:00,sim64a[26582]:,connect,4,86.159.254.121,Genesis
2012-10-22T11:10:22.197563+00:00,sim64a[26582]:,chat,4,86.159.254.121,Genesis,15,,Hey guys anybody know how to drive a car/boat/train/aeroplane
2012-10-22T11:49:07.427544+00:00,sim64a[26582]:,disconnect,2,121.150.204.151,Client#2
2012-10-22T11:49:07.427793+00:00,sim64a[26582]:,disconnect,3,126.123.114.140,Client#7
2012-10-22T11:49:07.428035+00:00,sim64a[26582]:,disconnect,4,86.159.254.121,Genesis
2012-10-22T11:49:13.350932+00:00,sim64a[26582]:,connect,5,92.225.199.217,Client#4
2012-10-22T12:34:29.350144+00:00,sim64a[26582]:,connect,2,83.4.151.1,Client#2
2012-10-22T13:57:31.007926+00:00,sim64a[26582]:,connect,3,92.225.199.217,Client#4
2012-10-22T14:22:22.713127+00:00,sim64a[26582]:,connect,4,83.4.151.1,Client#2
2012-10-22T14:22:22.808810+00:00,sim64a[26582]:,disconnect,2,83.4.151.1,Client#2
2012-10-22T14:22:22.809093+00:00,sim64a[26582]:,disconnect,5,92.225.199.217,Client#4
2012-10-22T14:22:44.081913+00:00,sim64a[26582]:,disconnect,4,83.4.151.1,Client#2
2012-10-22T15:50:13.299271+00:00,sim64a[26582]:,disconnect,3,92.225.199.217,Client#4
2012-10-22T15:50:19.030067+00:00,sim64a[26582]:,connect,2,94.225.196.113,Client#2
