2012-11-11T03:04:01.532736+00:00,sim64a[18441]:,disconnect,6,177.33.90.36,Apodiense
2012-11-11T04:48:47.806073+00:00,sim64a[18441]:,connect,2,36.68.187.17,player
2012-11-11T04:48:54.653348+00:00,sim64a[18441]:,disconnect,2,36.68.187.17,player
2012-11-11T07:53:17.772070+00:00,sim64a[18441]:,connect,2,14.199.52.69,Client#2
2012-11-11T13:00:31.116404+00:00,sim64a[18441]:,disconnect,2,14.199.52.69,Client#2
2012-11-11T13:00:37.392808+00:00,sim64a[18441]:,connect,3,77.160.39.32,Client#3
2012-11-11T13:42:14.149800+00:00,sim64a[18441]:,disconnect,3,77.160.39.32,Client#3
2012-11-11T14:58:39.490758+00:00,sim64a[18441]:,connect,2,189.120.54.77,Titan
2012-11-11T15:24:47.170768+00:00,sim64a[18441]:,disconnect,2,189.120.54.77,Titan
2012-11-11T16:41:03.009308+00:00,sim64a[18441]:,connect,2,87.155.248.153,Client#5
2012-11-11T16:41:29.080289+00:00,sim64a[18441]:,connect,3,87.155.248.153,Client#5
2012-11-11T16:41:38.288707+00:00,sim64a[18441]:,disconnect,2,87.155.248.153,Client#5
2012-11-11T16:41:38.288772+00:00,sim64a[18441]:,disconnect,3,87.155.248.153,Client#5
2012-11-11T17:48:34.676965+00:00,sim64a[18441]:,connect,2,80.180.12.86,Client#2
2012-11-11T18:02:25.427806+00:00,sim64a[18441]:,connect,3,90.185.178.103,Client#3
