2012-11-28T07:18:28.419862+00:00,sim64a[8378]:,disconnect,5,81.173.149.218,trian
2012-11-28T07:18:37.181092+00:00,sim64a[8378]:,connect,3,89.83.219.121,Client#3
2012-11-28T13:23:31.023049+00:00,sim64a[8378]:,connect,4,14.199.52.69,ApophisLee2
2012-11-28T16:38:25.067778+00:00,sim64a[8378]:,disconnect,3,89.83.219.121,Client#3
2012-11-28T16:38:25.067803+00:00,sim64a[8378]:,disconnect,4,14.199.52.69,ApophisLee2
2012-11-28T16:38:36.753987+00:00,sim64a[8378]:,connect,5,14.199.52.69,ApophisLee2
2012-11-28T16:38:46.842947+00:00,sim64a[8378]:,disconnect,5,14.199.52.69,ApophisLee2
2012-11-28T20:09:09.107023+00:00,sim64a[8378]:,connect,3,188.75.182.3,Client#4
2012-11-28T22:09:17.652845+00:00,sim64a[8378]:,disconnect,3,188.75.182.3,Client#4
2012-11-28T22:12:25.219527+00:00,sim64a[8378]:,connect,4,177.169.52.164,Client#4
2012-11-28T22:13:02.991315+00:00,sim64a[8378]:,disconnect,4,177.169.52.164,Client#4
