2012-12-09T00:56:38.776504+00:00,sim64a[19995]:,disconnect,2,201.58.81.6,avua
2012-12-09T00:56:44.000575+00:00,sim64a[19995]:,connect,4,24.14.135.102,Client#4
2012-12-09T01:11:19.528701+00:00,sim64a[19995]:,disconnect,4,24.14.135.102,Client#4
2012-12-09T01:32:48.341884+00:00,sim64a[19995]:,connect,2,14.56.151.37,dj
2012-12-09T01:33:20.308657+00:00,sim64a[19995]:,disconnect,2,14.56.151.37,dj
2012-12-09T04:51:11.098541+00:00,sim64a[19995]:,connect,2,98.141.195.201,Fifty
2012-12-09T06:44:05.252847+00:00,sim64a[19995]:,connect,4,88.132.15.91,sanyika0103
2012-12-09T06:49:36.658998+00:00,sim64a[19995]:,disconnect,2,98.141.195.201,Fifty
2012-12-09T06:49:36.660142+00:00,sim64a[19995]:,disconnect,4,88.132.15.91,sanyika0103
2012-12-09T09:50:25.312568+00:00,sim64a[19995]:,connect,2,80.132.176.149,Client#5
2012-12-09T10:58:47.243170+00:00,sim64a[19995]:,connect,4,1.36.133.41,Client#2
2012-12-09T10:58:49.413996+00:00,sim64a[19995]:,disconnect,2,80.132.176.149,Client#5
2012-12-09T10:58:49.414042+00:00,sim64a[19995]:,disconnect,4,1.36.133.41,Client#2
2012-12-09T10:59:12.880482+00:00,sim64a[19995]:,connect,2,1.36.133.41,Client#2
2012-12-09T11:04:05.004845+00:00,sim64a[19995]:,disconnect,2,1.36.133.41,Client#2
2012-12-09T11:33:21.413763+00:00,sim64a[19995]:,connect,2,189.102.167.217,edson
2012-12-09T13:03:50.850488+00:00,sim64a[19995]:,connect,4,60.246.188.233,Client#4
2012-12-09T13:29:48.313728+00:00,sim64a[19995]:,connect,5,42.60.102.19,Client#5
2012-12-09T14:59:46.175012+00:00,sim64a[19995]:,connect,6,92.82.28.15,frantzdae
2012-12-09T18:01:08.754314+00:00,sim64a[19995]:,connect,7,189.121.106.23,edson
2012-12-09T18:04:38.601988+00:00,sim64a[19995]:,disconnect,2,189.102.167.217,edson
2012-12-09T18:04:38.602088+00:00,sim64a[19995]:,disconnect,4,60.246.188.233,Client#4
2012-12-09T18:04:38.603213+00:00,sim64a[19995]:,disconnect,5,42.60.102.19,Client#5
2012-12-09T18:04:38.603253+00:00,sim64a[19995]:,disconnect,6,92.82.28.15,frantzdae
2012-12-09T18:04:38.603302+00:00,sim64a[19995]:,disconnect,7,189.121.106.23,edson
2012-12-09T18:04:50.003211+00:00,sim64a[19995]:,connect,2,189.121.106.23,edson
2012-12-09T18:05:20.672150+00:00,sim64a[19995]:,disconnect,2,189.121.106.23,edson
2012-12-09T18:05:29.105556+00:00,sim64a[19995]:,connect,4,189.121.106.23,edson
2012-12-09T18:12:30.802497+00:00,sim64a[19995]:,connect,2,189.121.106.23,edson
2012-12-09T19:06:49.711390+00:00,sim64a[19995]:,connect,5,188.100.7.76,Client#5
2012-12-09T20:06:42.000678+00:00,sim64a[19995]:,connect,6,189.121.106.23,edson
2012-12-09T20:08:02.724920+00:00,sim64a[19995]:,disconnect,2,189.121.106.23,edson
2012-12-09T20:08:02.725017+00:00,sim64a[19995]:,disconnect,4,189.121.106.23,edson
2012-12-09T20:08:02.725206+00:00,sim64a[19995]:,disconnect,5,188.100.7.76,Client#5
2012-12-09T20:08:02.725361+00:00,sim64a[19995]:,disconnect,6,189.121.106.23,edson
2012-12-09T20:14:27.366100+00:00,sim64a[19995]:,connect,2,186.212.159.221,Dude
2012-12-09T20:18:48.933072+00:00,sim64a[19995]:,disconnect,2,186.212.159.221,Dude
2012-12-09T20:29:34.225917+00:00,sim64a[19995]:,connect,2,189.29.168.105,IgorEliezer
2012-12-09T23:45:46.388184+00:00,sim64a[19995]:,connect,4,186.212.159.221,Dude
