2012-12-11T00:41:34.035775+00:00,sim64a[19995]:,disconnect,5,174.89.66.141,Astrain1
2012-12-11T00:41:39.172682+00:00,sim64a[19995]:,connect,2,2.81.70.146,low
2012-12-11T06:47:01.785873+00:00,sim64a[19995]:,disconnect,2,2.81.70.146,low
2012-12-11T06:47:08.710129+00:00,sim64a[19995]:,connect,4,66.62.141.1,jsharpminor
2012-12-11T06:51:13.036958+00:00,sim64a[19995]:,disconnect,4,66.62.141.1,jsharpminor
2012-12-11T06:51:49.021415+00:00,sim64a[19995]:,connect,2,66.62.141.1,jsharpminor
2012-12-11T06:53:28.507162+00:00,sim64a[19995]:,disconnect,2,66.62.141.1,jsharpminor
2012-12-11T11:12:07.244506+00:00,sim64a[19995]:,connect,2,87.12.59.180,Client#2
2012-12-11T13:17:53.803988+00:00,sim64a[19995]:,disconnect,2,87.12.59.180,Client#2
2012-12-11T13:17:58.414073+00:00,sim64a[19995]:,connect,4,137.226.148.43,Client#4
2012-12-11T13:19:24.980233+00:00,sim64a[19995]:,disconnect,4,137.226.148.43,Client#4
2012-12-11T14:33:11.344003+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T14:39:56.650541+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T14:40:05.144050+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T14:42:34.367268+00:00,sim64a[19995]:,connect,2,92.227.6.206,Client#2
2012-12-11T14:44:12.052563+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T14:44:23.545084+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T14:45:05.190520+00:00,sim64a[19995]:,disconnect,2,92.227.6.206,Client#2
2012-12-11T14:47:36.500215+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T14:59:21.444078+00:00,sim64a[19995]:,connect,5,189.102.167.15,edson
2012-12-11T15:21:16.729589+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T15:21:16.729670+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T15:21:16.729827+00:00,sim64a[19995]:,disconnect,5,189.102.167.15,edson
2012-12-11T15:21:30.779517+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T15:22:37.283203+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T15:50:23.175974+00:00,sim64a[19995]:,connect,5,189.102.167.15,edson
2012-12-11T15:54:41.663071+00:00,sim64a[19995]:,connect,6,189.102.167.15,edson
2012-12-11T16:08:09.637012+00:00,sim64a[19995]:,connect,7,87.12.59.180,Client#2
2012-12-11T16:08:09.806745+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T16:08:09.806819+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T16:08:09.806980+00:00,sim64a[19995]:,disconnect,5,189.102.167.15,edson
2012-12-11T16:08:29.608614+00:00,sim64a[19995]:,chat,6,189.102.167.15,edson,2,FedEx,hi
2012-12-11T16:09:11.404684+00:00,sim64a[19995]:,disconnect,6,189.102.167.15,edson
2012-12-11T16:09:25.295375+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T16:09:40.140920+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T16:09:52.712699+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T16:10:03.798980+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T16:10:16.808374+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T16:13:50.955724+00:00,sim64a[19995]:,chat,2,189.102.167.15,edson,2,FedEx,add powert to the new power plant please :)
2012-12-11T16:14:10.655290+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T16:14:22.401817+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T16:14:48.688069+00:00,sim64a[19995]:,disconnect,7,87.12.59.180,Client#2
2012-12-11T16:14:58.892049+00:00,sim64a[19995]:,connect,4,87.12.59.180,Client#2
2012-12-11T16:15:48.697275+00:00,sim64a[19995]:,disconnect,4,87.12.59.180,Client#2
2012-12-11T16:15:58.613679+00:00,sim64a[19995]:,connect,4,87.12.59.180,Client#2
2012-12-11T16:17:48.660261+00:00,sim64a[19995]:,disconnect,4,87.12.59.180,Client#2
2012-12-11T16:17:59.437052+00:00,sim64a[19995]:,connect,4,87.12.59.180,Client#2
2012-12-11T16:18:48.842999+00:00,sim64a[19995]:,disconnect,4,87.12.59.180,Client#2
2012-12-11T16:19:00.241247+00:00,sim64a[19995]:,connect,4,87.12.59.180,Client#2
2012-12-11T16:19:01.010261+00:00,sim64a[19995]:,disconnect,4,87.12.59.180,Client#2
2012-12-11T16:31:28.290077+00:00,sim64a[19995]:,connect,4,60.246.176.89,Client#4
2012-12-11T16:32:34.017869+00:00,sim64a[19995]:,disconnect,4,60.246.176.89,Client#4
2012-12-11T16:33:16.787882+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T16:35:19.746270+00:00,sim64a[19995]:,connect,5,189.102.167.15,edson
2012-12-11T16:36:10.230543+00:00,sim64a[19995]:,connect,6,189.102.167.15,edson
2012-12-11T16:40:25.140308+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T16:40:25.140347+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T16:40:25.140370+00:00,sim64a[19995]:,disconnect,5,189.102.167.15,edson
2012-12-11T16:40:25.140392+00:00,sim64a[19995]:,disconnect,6,189.102.167.15,edson
2012-12-11T16:40:33.564971+00:00,sim64a[19995]:,connect,7,189.102.167.15,edson
2012-12-11T16:40:55.294257+00:00,sim64a[19995]:,disconnect,7,189.102.167.15,edson
2012-12-11T16:41:03.719435+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T17:00:02.319329+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T17:00:16.667232+00:00,sim64a[19995]:,connect,2,189.102.167.15,edson
2012-12-11T17:10:07.375913+00:00,sim64a[19995]:,disconnect,2,189.102.167.15,edson
2012-12-11T17:10:17.423877+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T17:13:18.451301+00:00,sim64a[19995]:,connect,2,87.12.59.180,Client#2
2012-12-11T17:14:36.216690+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T17:14:49.373636+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T17:15:59.339832+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T18:13:58.545253+00:00,sim64a[19995]:,connect,4,87.12.59.180,Client#2
2012-12-11T18:18:31.557704+00:00,sim64a[19995]:,connect,5,189.102.167.15,edson
2012-12-11T18:18:31.609155+00:00,sim64a[19995]:,disconnect,2,87.12.59.180,Client#2
2012-12-11T18:20:48.722787+00:00,sim64a[19995]:,disconnect,4,87.12.59.180,Client#2
2012-12-11T18:20:57.797302+00:00,sim64a[19995]:,connect,2,87.12.59.180,Client#2
2012-12-11T18:24:13.525154+00:00,sim64a[19995]:,disconnect,5,189.102.167.15,edson
2012-12-11T18:24:25.919441+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T18:25:30.168355+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T18:25:44.127378+00:00,sim64a[19995]:,connect,4,189.102.167.15,edson
2012-12-11T18:26:17.732921+00:00,sim64a[19995]:,disconnect,4,189.102.167.15,edson
2012-12-11T18:31:48.612811+00:00,sim64a[19995]:,disconnect,2,87.12.59.180,Client#2
2012-12-11T20:32:15.519052+00:00,sim64a[19995]:,connect,2,201.52.146.85,Ladislau BRA
