2012-12-15T00:03:02.932250+00:00,sim64a[20384]:,disconnect,2,92.249.193.209,Johnny
2012-12-15T00:03:02.932337+00:00,sim64a[20384]:,disconnect,3,189.102.160.129,edson
2012-12-15T00:03:02.932389+00:00,sim64a[20384]:,disconnect,4,87.165.115.188,Client#4
2012-12-15T00:03:13.787346+00:00,sim64a[20384]:,connect,5,189.102.160.129,edson
2012-12-15T01:05:39.266288+00:00,sim64a[20384]:,disconnect,5,189.102.160.129,edson
2012-12-15T01:08:28.992024+00:00,sim64a[20384]:,connect,2,200.166.99.20,chian
2012-12-15T01:16:28.081435+00:00,sim64a[20384]:,disconnect,2,200.166.99.20,chian
2012-12-15T04:15:41.631266+00:00,sim64a[20384]:,connect,2,177.2.90.176,nextone
2012-12-15T07:51:46.667812+00:00,sim64a[20384]:,disconnect,2,177.2.90.176,nextone
2012-12-15T07:51:51.821893+00:00,sim64a[20384]:,connect,3,84.175.198.29,Robin
2012-12-15T11:53:33.717096+00:00,sim64a[20384]:,connect,2,197.0.180.215,Client#2
2012-12-15T11:57:52.566083+00:00,sim64a[20384]:,connect,4,189.102.166.246,Client#4
2012-12-15T11:57:52.617164+00:00,sim64a[20384]:,disconnect,3,84.175.198.29,Robin
2012-12-15T11:58:31.012375+00:00,sim64a[20384]:,connect,3,125.54.178.91,Client#3
2012-12-15T11:58:34.377052+00:00,sim64a[20384]:,disconnect,3,125.54.178.91,Client#3
2012-12-15T12:15:03.625223+00:00,sim64a[20384]:,disconnect,4,189.102.166.246,Client#4
2012-12-15T12:15:15.094483+00:00,sim64a[20384]:,connect,3,189.102.166.246,Client#4
2012-12-15T12:22:17.221095+00:00,sim64a[20384]:,disconnect,2,197.0.180.215,Client#2
2012-12-15T12:42:52.739155+00:00,sim64a[20384]:,disconnect,3,189.102.166.246,Client#4
2012-12-15T12:43:08.552900+00:00,sim64a[20384]:,connect,2,189.102.166.246,Client#4
2012-12-15T13:10:46.209987+00:00,sim64a[20384]:,connect,3,77.189.174.112,Client#3
2012-12-15T13:14:35.536519+00:00,sim64a[20384]:,disconnect,2,189.102.166.246,Client#4
2012-12-15T13:14:35.536643+00:00,sim64a[20384]:,disconnect,3,77.189.174.112,Client#3
2012-12-15T13:37:36.127372+00:00,sim64a[20384]:,connect,2,83.208.126.218,Client#2
2012-12-15T14:12:15.300639+00:00,sim64a[20384]:,connect,3,77.27.179.210,adri
2012-12-15T17:06:39.383414+00:00,sim64a[20384]:,connect,4,189.102.166.246,Client#4
2012-12-15T17:34:30.654582+00:00,sim64a[20384]:,disconnect,2,83.208.126.218,Client#2
2012-12-15T17:34:30.655701+00:00,sim64a[20384]:,disconnect,3,77.27.179.210,adri
2012-12-15T17:34:30.655836+00:00,sim64a[20384]:,disconnect,4,189.102.166.246,Client#4
2012-12-15T17:34:39.442647+00:00,sim64a[20384]:,connect,5,189.107.93.52,Jose Henrique
2012-12-15T20:18:22.037903+00:00,sim64a[20384]:,connect,2,189.102.166.246,Client#4
2012-12-15T21:15:12.680496+00:00,sim64a[20384]:,connect,3,189.102.166.246,Client#4
2012-12-15T21:24:04.233613+00:00,sim64a[20384]:,connect,4,66.235.48.92,Client#4
2012-12-15T21:24:04.364236+00:00,sim64a[20384]:,disconnect,2,189.102.166.246,Client#4
2012-12-15T21:24:04.364263+00:00,sim64a[20384]:,disconnect,5,189.107.93.52,Jose Henrique
2012-12-15T21:25:02.760869+00:00,sim64a[20384]:,disconnect,4,66.235.48.92,Client#4
2012-12-15T21:33:59.086300+00:00,sim64a[20384]:,connect,2,98.234.22.204,Client#2
2012-12-15T21:34:00.896294+00:00,sim64a[20384]:,disconnect,3,189.102.166.246,Client#4
2012-12-15T21:34:08.478378+00:00,sim64a[20384]:,disconnect,2,98.234.22.204,Client#2
2012-12-15T21:34:18.100711+00:00,sim64a[20384]:,connect,3,189.102.166.246,edson
2012-12-15T21:35:14.843483+00:00,sim64a[20384]:,connect,2,98.234.22.204,Client#2
2012-12-15T21:36:37.448442+00:00,sim64a[20384]:,disconnect,2,98.234.22.204,Client#2
2012-12-15T21:36:41.960211+00:00,sim64a[20384]:,disconnect,3,189.102.166.246,edson
2012-12-15T21:36:51.714514+00:00,sim64a[20384]:,connect,2,189.102.166.246,edson
2012-12-15T21:38:42.121755+00:00,sim64a[20384]:,disconnect,2,189.102.166.246,edson
2012-12-15T23:39:53.936712+00:00,sim64a[20384]:,connect,2,189.102.166.246,edson
