2012-12-24T07:18:24.781686+00:00,sim64a[3017]:,disconnect,4,85.155.225.5,Juani
2012-12-24T07:18:38.860825+00:00,sim64a[3017]:,connect,2,60.246.148.96,Client#1
2012-12-24T08:52:15.867586+00:00,sim64a[3017]:,disconnect,2,60.246.148.96,Client#1
2012-12-24T08:52:32.550455+00:00,sim64a[3017]:,connect,3,87.12.59.180,Client#2
2012-12-24T08:56:16.419462+00:00,sim64a[3017]:,connect,2,87.12.59.180,Client#2
2012-12-24T12:20:19.841618+00:00,sim64a[3017]:,connect,4,211.10.143.183,HRTprojects
2012-12-24T12:21:13.544865+00:00,sim64a[3017]:,connect,5,211.10.143.183,HRTprojects
2012-12-24T12:23:27.934186+00:00,sim64a[3017]:,disconnect,2,87.12.59.180,Client#2
2012-12-24T12:23:27.934219+00:00,sim64a[3017]:,disconnect,3,87.12.59.180,Client#2
2012-12-24T12:23:27.934243+00:00,sim64a[3017]:,disconnect,4,211.10.143.183,HRTprojects
2012-12-24T12:23:27.934272+00:00,sim64a[3017]:,disconnect,5,211.10.143.183,HRTprojects
2012-12-24T12:23:38.120263+00:00,sim64a[3017]:,connect,6,211.10.143.183,HRTprojects
2012-12-24T12:30:18.103987+00:00,sim64a[3017]:,connect,2,211.10.143.183,HRTprojects
2012-12-24T12:31:22.264922+00:00,sim64a[3017]:,connect,3,211.10.143.183,HRTprojects
2012-12-24T12:31:46.670575+00:00,sim64a[3017]:,disconnect,2,211.10.143.183,HRTprojects
2012-12-24T12:31:46.670838+00:00,sim64a[3017]:,disconnect,3,211.10.143.183,HRTprojects
2012-12-24T12:31:46.672109+00:00,sim64a[3017]:,disconnect,6,211.10.143.183,HRTprojects
2012-12-24T12:32:02.644358+00:00,sim64a[3017]:,connect,2,211.10.143.183,HRTprojects
2012-12-24T12:34:45.322178+00:00,sim64a[3017]:,connect,3,211.10.143.183,HRTprojects
2012-12-24T13:07:40.733075+00:00,sim64a[3017]:,disconnect,2,211.10.143.183,HRTprojects
2012-12-24T13:07:40.733127+00:00,sim64a[3017]:,disconnect,3,211.10.143.183,HRTprojects
2012-12-24T13:36:25.670583+00:00,sim64a[3017]:,connect,2,189.102.167.56,edson
2012-12-24T14:27:06.117749+00:00,sim64a[3017]:,disconnect,2,189.102.167.56,edson
2012-12-24T19:08:02.844107+00:00,sim64a[3017]:,connect,2,189.102.167.56,edson
2012-12-24T23:44:51.311391+00:00,sim64a[3017]:,connect,3,189.102.167.56,edson
2012-12-24T23:47:19.396231+00:00,sim64a[3017]:,connect,4,189.102.167.56,edson
