2012-04-05T00:02:15.962955+00:00,sim64b[5922]:,disconnect,4,79.97.27.211,al
2012-04-05T01:03:44.053359+00:00,sim64b[5922]:,connect,2,189.46.242.103,Client#4
2012-04-05T01:25:37.106647+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Client#4
2012-04-05T01:25:45.450119+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:27:28.536437+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:28:26.771498+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:28:26.771670+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:28:36.123030+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T01:33:46.145350+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:38:40.795244+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:38:40.795511+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T01:39:00.787845+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:40:47.749488+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:40:55.073038+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:42:41.963981+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:42:58.892932+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:44:56.609255+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:47:47.858467+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:47:47.858715+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T01:48:10.331321+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T01:59:23.933476+00:00,sim64b[5922]:,connect,3,177.33.96.184,edson
2012-04-05T02:00:41.184927+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:01:30.333379+00:00,sim64b[5922]:,disconnect,3,177.33.96.184,edson
2012-04-05T02:01:38.097187+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:14:17.510481+00:00,sim64b[5922]:,chat,2,189.46.242.103,Eric Costa Marques,9,TRANSERIC,"Ikarus Model B causing traffic JAM in 390,157"
2012-04-05T02:15:32.141037+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T02:17:34.628752+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T02:27:20.461848+00:00,sim64b[5922]:,connect,5,190.73.89.1,Client#4
2012-04-05T02:27:20.596423+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:27:20.596461+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T02:29:09.870903+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T02:29:34.151719+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:30:12.199616+00:00,sim64b[5922]:,disconnect,5,190.73.89.1,Client#4
2012-04-05T02:30:29.832147+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#4
2012-04-05T02:41:38.041939+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:41:52.520500+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:46:42.247596+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#4
2012-04-05T02:46:47.618980+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:46:55.604157+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#4
2012-04-05T02:47:03.383503+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:52:03.514011+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#4
2012-04-05T02:52:23.648870+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#4
2012-04-05T02:53:49.137620+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:54:15.792415+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:55:54.523669+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:56:10.714724+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:57:19.765074+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#4
2012-04-05T02:57:27.654903+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T02:57:35.618336+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T02:57:48.887072+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#4
2012-04-05T02:58:32.136852+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#4
2012-04-05T02:58:53.144123+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#4
2012-04-05T02:59:03.871800+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T02:59:18.984846+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:00:03.837941+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:00:27.852471+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:01:11.464405+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#4
2012-04-05T03:01:20.226746+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:01:32.314645+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#4
2012-04-05T03:01:41.142063+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:02:37.120255+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#4
2012-04-05T03:03:02.561600+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#4
2012-04-05T03:03:14.290241+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:03:14.344402+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:03:37.229526+00:00,sim64b[5922]:,chat,4,189.46.242.103,Eric Costa Marques,15,,Hello !!
2012-04-05T03:04:19.597605+00:00,sim64b[5922]:,chat,4,189.46.242.103,Eric Costa Marques,15,,Oi Joador 12
2012-04-05T03:04:19.819573+00:00,sim64b[5922]:,chat,2,190.73.89.1,Client#4,15,,hello
2012-04-05T03:05:02.118399+00:00,sim64b[5922]:,chat,4,189.46.242.103,Eric Costa Marques,15,,Hello
2012-04-05T03:05:35.765578+00:00,sim64b[5922]:,chat,4,189.46.242.103,Eric Costa Marques,15,,Thank-you by the Airport
2012-04-05T03:08:54.790897+00:00,sim64b[5922]:,chat,2,190.73.89.1,Client#4,15,,you re welcome
2012-04-05T03:09:40.473918+00:00,sim64b[5922]:,chat,4,189.46.242.103,Eric Costa Marques,9,TRANSERIC,"Thank-you "
2012-04-05T03:10:43.138856+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:11:05.153108+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:14:09.072214+00:00,sim64b[5922]:,chat,3,189.46.242.103,Eric Costa Marques,9,TRANSERIC,"Good night, I will Sleep"
2012-04-05T03:14:26.120689+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#4
2012-04-05T03:14:26.120821+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:14:34.136939+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:15:06.690117+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#4
2012-04-05T03:16:10.700373+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:16:24.647687+00:00,sim64b[5922]:,connect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:21:55.859566+00:00,sim64b[5922]:,connect,4,190.73.89.1,Client#4
2012-04-05T03:24:00.789390+00:00,sim64b[5922]:,disconnect,4,190.73.89.1,Client#4
2012-04-05T03:24:00.946878+00:00,sim64b[5922]:,disconnect,3,189.46.242.103,Eric Costa Marques
2012-04-05T03:24:15.800235+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#3
2012-04-05T03:24:24.190795+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:25:35.200420+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:25:57.783284+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:28:37.151830+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#3
2012-04-05T03:28:37.310136+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:28:55.589894+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#3
2012-04-05T03:32:17.640092+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:33:33.888989+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:33:49.396808+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:33:55.206912+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#4
2012-04-05T03:38:14.566920+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T03:39:39.421948+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T03:42:28.913574+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T03:50:40.912898+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#3
2012-04-05T03:51:37.849461+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#3
2012-04-05T03:53:29.320241+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#3
2012-04-05T03:58:18.109350+00:00,sim64b[5922]:,connect,4,190.73.89.1,Client#3
2012-04-05T04:08:33.396357+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#3
2012-04-05T04:08:33.396662+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#3
2012-04-05T04:08:33.396961+00:00,sim64b[5922]:,disconnect,4,190.73.89.1,Client#3
2012-04-05T04:09:00.480208+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#3
2012-04-05T06:23:42.637759+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#4
2012-04-05T06:24:15.163439+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#3
2012-04-05T06:24:15.164048+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#4
2012-04-05T06:24:51.761266+00:00,sim64b[5922]:,connect,2,79.249.117.62,Client#2
2012-04-05T07:17:03.493972+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T07:20:01.663626+00:00,sim64b[5922]:,disconnect,2,79.249.117.62,Client#2
2012-04-05T07:20:01.663652+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T07:20:10.021296+00:00,sim64b[5922]:,connect,2,79.249.117.62,Client#2
2012-04-05T07:35:43.732570+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T07:48:36.686481+00:00,sim64b[5922]:,disconnect,2,79.249.117.62,Client#2
2012-04-05T07:48:36.686878+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T07:48:44.103806+00:00,sim64b[5922]:,connect,4,92.40.70.229,SC
2012-04-05T07:59:14.259806+00:00,sim64b[5922]:,connect,2,78.9.93.57,Client#4
2012-04-05T08:09:17.544381+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T08:09:17.593541+00:00,sim64b[5922]:,disconnect,4,92.40.70.229,SC
2012-04-05T08:13:28.126514+00:00,sim64b[5922]:,connect,4,92.40.70.229,SC
2012-04-05T08:14:01.176049+00:00,sim64b[5922]:,disconnect,4,92.40.70.229,SC
2012-04-05T08:18:01.817993+00:00,sim64b[5922]:,disconnect,2,78.9.93.57,Client#4
2012-04-05T08:18:34.549810+00:00,sim64b[5922]:,connect,2,78.9.93.57,Client#4
