2012-04-26T00:12:40.805164+00:00,sim64b[5922]:,disconnect,2,89.102.23.95,Austin
2012-04-26T01:05:48.700673+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#9
2012-04-26T01:06:19.703692+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#9
2012-04-26T01:07:22.909239+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#9
2012-04-26T01:07:32.999601+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#9
2012-04-26T01:10:49.016605+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#9
2012-04-26T01:14:24.821386+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#9
2012-04-26T01:15:35.388558+00:00,sim64b[5922]:,connect,3,190.73.89.1,Client#3
2012-04-26T01:23:42.605880+00:00,sim64b[5922]:,disconnect,3,190.73.89.1,Client#3
2012-04-26T01:28:33.052150+00:00,sim64b[5922]:,connect,2,190.73.89.1,Client#2
2012-04-26T01:30:26.269646+00:00,sim64b[5922]:,disconnect,2,190.73.89.1,Client#2
2012-04-26T06:02:39.832500+00:00,sim64b[5922]:,connect,2,80.132.144.127,Client#2
2012-04-26T09:43:44.793936+00:00,sim64b[5922]:,disconnect,2,80.132.144.127,Client#2
2012-04-26T09:43:52.410223+00:00,sim64b[5922]:,connect,3,92.226.237.186,Darth Vader
2012-04-26T14:50:26.606033+00:00,sim64b[5922]:,connect,2,189.104.94.16,Matheus B.
2012-04-26T14:52:37.580902+00:00,sim64b[5922]:,disconnect,2,189.104.94.16,Matheus B.
2012-04-26T16:17:26.975280+00:00,sim64b[5922]:,connect,2,61.117.160.5,Client#9
2012-04-26T16:40:48.189585+00:00,sim64b[5922]:,connect,4,92.226.237.186,Darth Vader
2012-04-26T16:40:48.292043+00:00,sim64b[5922]:,disconnect,3,92.226.237.186,Darth Vader
2012-04-26T18:07:47.802001+00:00,sim64b[5922]:,disconnect,4,92.226.237.186,Darth Vader
2012-04-26T18:47:23.941651+00:00,sim64b[5922]:,connect,3,92.226.237.186,Darth Vader
2012-04-26T20:03:38.708887+00:00,sim64b[5922]:,connect,4,78.55.151.35,Client#4
2012-04-26T20:16:27.804306+00:00,sim64b[5922]:,disconnect,3,92.226.237.186,Darth Vader
2012-04-26T20:17:05.082693+00:00,sim64b[5922]:,disconnect,4,78.55.151.35,Client#4
2012-04-26T20:17:25.164384+00:00,sim64b[5922]:,connect,3,78.55.151.35,Client#4
2012-04-26T20:26:01.016002+00:00,sim64b[5922]:,disconnect,2,61.117.160.5,Client#9
2012-04-26T21:04:33.191110+00:00,sim64b[5922]:,connect,2,2.82.116.196,kimico
2012-04-26T22:50:01.404544+00:00,sim64b[5922]:,disconnect,2,2.82.116.196,kimico
