2012-05-27T00:01:30.468217+00:00,sim64b[22453]:,disconnect,2,98.119.121.135,Hi-Desert transport
2012-05-27T00:42:23.631975+00:00,sim64b[22453]:,connect,2,93.195.11.111,Client#3
2012-05-27T00:51:19.446512+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T00:51:33.488861+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T01:12:55.459246+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T01:13:07.878195+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T01:21:26.052785+00:00,sim64b[22453]:,disconnect,2,93.195.11.111,Client#3
2012-05-27T01:21:37.327594+00:00,sim64b[22453]:,connect,2,93.195.11.111,Client#3
2012-05-27T01:40:24.419460+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T01:45:56.138805+00:00,sim64b[22453]:,chat,2,93.195.11.111,Client#3,2,Napik 128 AS,hey
2012-05-27T01:49:58.712191+00:00,sim64b[22453]:,connect,3,201.95.165.118,Client#3
2012-05-27T01:51:55.799314+00:00,sim64b[22453]:,disconnect,3,201.95.165.118,Client#3
2012-05-27T02:09:44.910425+00:00,sim64b[22453]:,connect,3,187.95.98.40,Bruno
2012-05-27T02:14:01.902685+00:00,sim64b[22453]:,disconnect,2,93.195.11.111,Client#3
2012-05-27T02:14:01.902723+00:00,sim64b[22453]:,disconnect,3,187.95.98.40,Bruno
2012-05-27T02:14:09.021446+00:00,sim64b[22453]:,connect,5,178.14.33.41,Client#5
2012-05-27T02:19:17.721132+00:00,sim64b[22453]:,connect,2,178.14.33.41,Aemkei
2012-05-27T03:04:12.224072+00:00,sim64b[22453]:,disconnect,2,178.14.33.41,Aemkei
2012-05-27T03:04:12.224136+00:00,sim64b[22453]:,disconnect,5,178.14.33.41,Client#5
2012-05-27T03:04:57.303709+00:00,sim64b[22453]:,connect,3,187.95.98.40,Bruno
2012-05-27T03:07:47.716055+00:00,sim64b[22453]:,disconnect,3,187.95.98.40,Bruno
2012-05-27T04:36:38.769211+00:00,sim64b[22453]:,connect,2,219.77.115.190,Client#2
2012-05-27T04:55:59.874180+00:00,sim64b[22453]:,disconnect,2,219.77.115.190,Client#2
2012-05-27T04:56:30.795773+00:00,sim64b[22453]:,connect,3,219.77.115.190,Client#2
2012-05-27T06:24:58.276877+00:00,sim64b[22453]:,disconnect,3,219.77.115.190,Client#2
2012-05-27T06:25:04.821970+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T06:27:24.623162+00:00,sim64b[22453]:,connect,3,84.63.164.64,Client#4
2012-05-27T06:30:20.317025+00:00,sim64b[22453]:,disconnect,3,84.63.164.64,Client#4
2012-05-27T06:37:45.596852+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T06:37:57.473602+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T07:11:37.847121+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T07:11:45.358032+00:00,sim64b[22453]:,connect,3,77.242.81.206,Client#7
2012-05-27T07:11:54.396704+00:00,sim64b[22453]:,connect,2,79.249.115.163,Client#5
2012-05-27T07:17:11.084155+00:00,sim64b[22453]:,disconnect,3,77.242.81.206,Client#7
2012-05-27T07:17:56.932887+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T08:34:19.787201+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T08:34:33.159015+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T09:00:05.049128+00:00,sim64b[22453]:,disconnect,2,79.249.115.163,Client#5
2012-05-27T09:38:56.508330+00:00,sim64b[22453]:,connect,2,90.183.224.4,Client#4
2012-05-27T09:53:40.452603+00:00,sim64b[22453]:,connect,5,93.195.11.111,Client#3
2012-05-27T09:57:13.142497+00:00,sim64b[22453]:,disconnect,2,90.183.224.4,Client#4
2012-05-27T09:58:29.944854+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T10:17:17.173581+00:00,sim64b[22453]:,connect,2,79.249.115.163,Client#5
2012-05-27T10:28:22.381220+00:00,sim64b[22453]:,connect,3,42.2.35.89,tamm2005
2012-05-27T10:29:27.395808+00:00,sim64b[22453]:,disconnect,3,42.2.35.89,tamm2005
2012-05-27T10:47:11.144944+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T11:21:12.756841+00:00,sim64b[22453]:,disconnect,2,79.249.115.163,Client#5
2012-05-27T11:39:22.836118+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T11:39:34.631321+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T11:51:01.365513+00:00,sim64b[22453]:,disconnect,5,93.195.11.111,Client#3
