2012-06-16T03:31:04.393332+00:00,sim64b[23271]:,disconnect,2,91.156.248.26,Client#5
2012-06-16T03:31:04.393450+00:00,sim64b[23271]:,disconnect,3,81.83.114.136,SuperRaiderX
2012-06-16T03:32:01.522105+00:00,sim64b[23271]:,connect,4,98.119.121.135,Hi-Desert transport
2012-06-16T03:38:26.298371+00:00,sim64b[23271]:,chat,4,98.119.121.135,Hi-Desert transport,11,Hi-Desert Transport,H'NK¿JFDCEWSA5Q
2012-06-16T04:48:22.583164+00:00,sim64b[23271]:,disconnect,4,98.119.121.135,Hi-Desert transport
2012-06-16T04:48:40.417671+00:00,sim64b[23271]:,connect,2,80.132.145.242,Client#3
2012-06-16T06:34:29.756668+00:00,sim64b[23271]:,disconnect,2,80.132.145.242,Client#3
2012-06-16T06:34:47.991576+00:00,sim64b[23271]:,connect,3,80.132.145.242,Client#3
2012-06-16T13:06:08.039155+00:00,sim64b[23271]:,connect,2,80.132.167.169,Client#3
2012-06-16T16:39:45.415168+00:00,sim64b[23271]:,connect,4,84.142.45.64,rrrrrr
2012-06-16T18:43:19.593753+00:00,sim64b[23271]:,connect,5,186.116.7.42,pRL
2012-06-16T21:22:50.174254+00:00,sim64b[23271]:,disconnect,2,80.132.167.169,Client#3
2012-06-16T21:22:50.174579+00:00,sim64b[23271]:,disconnect,3,80.132.145.242,Client#3
2012-06-16T21:22:50.174864+00:00,sim64b[23271]:,disconnect,4,84.142.45.64,rrrrrr
2012-06-16T21:22:50.175148+00:00,sim64b[23271]:,disconnect,5,186.116.7.42,pRL
2012-06-16T21:23:06.230438+00:00,sim64b[23271]:,connect,6,87.151.236.10,.
