2012-06-26T00:06:52.077147+00:00,sim64b[22134]:,disconnect,3,187.105.86.100,Carlos
2012-06-26T00:46:44.611757+00:00,sim64b[22134]:,disconnect,2,92.227.155.242,Client#2
2012-06-26T00:47:06.138682+00:00,sim64b[22134]:,connect,3,92.227.155.242,Client#2
2012-06-26T05:02:44.305216+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T05:21:51.125857+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T05:21:51.125888+00:00,sim64b[22134]:,disconnect,3,92.227.155.242,Client#2
2012-06-26T05:22:19.782091+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T05:29:55.449542+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T05:30:20.695081+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T05:53:12.838391+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T05:53:35.520258+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T06:00:15.823871+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T06:07:14.779072+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#2
2012-06-26T06:47:14.530290+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T06:55:00.240803+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#2
2012-06-26T07:28:22.315602+00:00,sim64b[22134]:,disconnect,3,88.165.36.112,Client#7
2012-06-26T07:28:47.072896+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T07:32:22.749560+00:00,sim64b[22134]:,connect,3,80.132.152.152,Client#3
2012-06-26T07:50:37.577516+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T07:51:04.020498+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T07:58:36.870963+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T08:20:51.832155+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T08:43:04.856012+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T08:43:29.731633+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T08:45:02.556123+00:00,sim64b[22134]:,disconnect,3,80.132.152.152,Client#3
2012-06-26T08:45:41.183311+00:00,sim64b[22134]:,connect,3,80.132.152.152,Client#3
2012-06-26T09:03:46.270022+00:00,sim64b[22134]:,connect,4,92.227.155.242,Client#2
2012-06-26T09:03:50.691943+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T09:10:48.782204+00:00,sim64b[22134]:,disconnect,4,92.227.155.242,Client#2
2012-06-26T09:57:44.222916+00:00,sim64b[22134]:,connect,2,88.77.236.2,Client#2
2012-06-26T09:59:11.413437+00:00,sim64b[22134]:,disconnect,2,88.77.236.2,Client#2
2012-06-26T10:25:13.333884+00:00,sim64b[22134]:,connect,2,92.227.155.242,Client#2
2012-06-26T10:48:48.996979+00:00,sim64b[22134]:,disconnect,2,92.227.155.242,Client#2
2012-06-26T10:52:07.693174+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T11:03:24.319090+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T11:03:51.721310+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T11:15:17.307530+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T11:25:54.445662+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T11:35:25.454291+00:00,sim64b[22134]:,connect,4,92.227.155.242,Client#2
2012-06-26T11:36:49.123018+00:00,sim64b[22134]:,disconnect,4,92.227.155.242,Client#2
