2012-12-28T08:01:28.430805+00:00,sim64b[12484]:,connect,2,116.91.61.43,riyerjacjk
2012-12-28T15:51:02.809256+00:00,sim64b[30847]:,onnect,2,98.141.195.201,Fifty
2012-12-28T19:09:57.216021+00:00,sim64b[30847]:,onnect,3,93.195.11.120,Client#2
2012-12-28T19:11:24.803073+00:00,sim64b[30847]:,onnect,4,93.195.11.120,Client#2
2012-12-28T19:24:14.651167+00:00,sim64b[30847]:,isconnect,2,98.141.195.201,Fifty
2012-12-28T19:24:14.651198+00:00,sim64b[30847]:,isconnect,3,93.195.11.120,Client#2
2012-12-28T19:24:14.651224+00:00,sim64b[30847]:,isconnect,4,93.195.11.120,Client#2
2012-12-28T19:24:18.395580+00:00,sim64b[30847]:,onnect,5,93.195.11.120,Client#2
2012-12-28T19:25:56.986762+00:00,sim64b[30847]:,onnect,2,93.195.11.120,Client#2
2012-12-28T19:27:28.311515+00:00,sim64b[30847]:,onnect,3,93.104.33.250,Client#3
2012-12-28T19:27:28.439671+00:00,sim64b[30847]:,isconnect,5,93.195.11.120,Client#2
2012-12-28T19:28:30.996159+00:00,sim64b[30847]:,isconnect,3,93.104.33.250,Client#3
2012-12-28T19:32:14.576573+00:00,sim64b[30847]:,onnect,3,98.141.195.201,Client#4
2012-12-28T19:33:10.541950+00:00,sim64b[30847]:,isconnect,3,98.141.195.201,Client#4
2012-12-28T20:24:32.780693+00:00,sim64b[30847]:,isconnect,2,93.195.11.120,Client#2
2012-12-28T20:33:07.986184+00:00,sim64b[30847]:,onnect,2,177.33.85.249,Client#2
2012-12-28T20:34:52.802932+00:00,sim64b[30847]:,onnect,3,177.33.85.249,Client#2
2012-12-28T21:06:50.586953+00:00,sim64b[30847]:,isconnect,2,177.33.85.249,Client#2
2012-12-28T21:06:50.588199+00:00,sim64b[30847]:,isconnect,3,177.33.85.249,Client#2
2012-12-28T21:06:54.275712+00:00,sim64b[30847]:,onnect,4,62.240.166.118,Client#4
2012-12-28T21:20:21.882239+00:00,sim64b[30847]:,isconnect,4,62.240.166.118,Client#4
2012-12-28T21:20:25.832025+00:00,sim64b[30847]:,onnect,2,99.199.226.123,Kominasoki
2012-12-28T21:20:46.079613+00:00,sim64b[30847]:,onnect,3,207.134.179.118,Senomaru
2012-12-28T21:21:30.804755+00:00,sim64b[30847]:,isconnect,2,99.199.226.123,Kominasoki
2012-12-28T23:47:41.301924+00:00,sim64b[30847]:,onnect,2,89.155.126.12,Client#2
