2013-01-20T09:15:38.439777+00:00,sim64b[30847]:,isconnect,3,187.56.214.161,Claudemir
2013-01-20T09:15:43.241858+00:00,sim64b[30847]:,onnect,4,81.172.60.172,Rupla
2013-01-20T11:50:12.605045+00:00,sim64b[30847]:,onnect,3,95.40.112.20,mt
2013-01-20T11:51:17.571104+00:00,sim64b[30847]:,isconnect,3,95.40.112.20,mt
2013-01-20T11:51:32.027371+00:00,sim64b[30847]:,onnect,3,95.40.112.20,mt
2013-01-20T11:56:27.353056+00:00,sim64b[30847]:,isconnect,3,95.40.112.20,mt
2013-01-20T13:44:06.352137+00:00,sim64b[30847]:,isconnect,4,81.172.60.172,Rupla
2013-01-20T13:44:11.686378+00:00,sim64b[30847]:,onnect,3,188.238.179.223,TL
2013-01-20T13:53:10.203607+00:00,sim64b[30847]:,onnect,4,187.6.193.50,Marcos PAI
2013-01-20T13:55:32.072723+00:00,sim64b[30847]:,onnect,5,187.6.193.50,mateus
2013-01-20T14:30:42.800121+00:00,sim64b[30847]:,onnect,6,187.6.193.50,mateus
2013-01-20T14:31:51.673065+00:00,sim64b[30847]:,onnect,7,187.6.193.50,MMM
2013-01-20T14:31:51.803624+00:00,sim64b[30847]:,isconnect,3,188.238.179.223,TL
2013-01-20T14:31:51.803668+00:00,sim64b[30847]:,isconnect,4,187.6.193.50,Marcos PAI
2013-01-20T14:31:51.803692+00:00,sim64b[30847]:,isconnect,5,187.6.193.50,mateus
2013-01-20T14:32:56.641862+00:00,sim64b[30847]:,onnect,3,187.6.193.50,rafael
2013-01-20T14:34:08.247556+00:00,sim64b[30847]:,isconnect,7,187.6.193.50,MMM
2013-01-20T14:34:10.327967+00:00,sim64b[30847]:,isconnect,3,187.6.193.50,rafael
2013-01-20T14:57:50.526844+00:00,sim64b[30847]:,onnect,3,187.6.193.50,rafael
2013-01-20T18:50:34.517045+00:00,sim64b[30847]:,onnect,4,81.172.60.172,Rupla
2013-01-20T19:00:04.602734+00:00,sim64b[30847]:,onnect,5,81.172.60.172,OPER
2013-01-20T19:00:04.736099+00:00,sim64b[30847]:,isconnect,3,187.6.193.50,rafael
2013-01-20T19:00:04.736123+00:00,sim64b[30847]:,isconnect,6,187.6.193.50,mateus
2013-01-20T19:58:27.045218+00:00,sim64b[30847]:,onnect,3,93.89.194.238,Client#6
2013-01-20T19:58:30.171182+00:00,sim64b[30847]:,isconnect,4,81.172.60.172,Rupla
2013-01-20T19:58:30.970634+00:00,sim64b[30847]:,isconnect,5,81.172.60.172,OPER
2013-01-20T19:58:53.232313+00:00,sim64b[30847]:,onnect,4,81.172.60.172,OPER
2013-01-20T19:59:18.878756+00:00,sim64b[30847]:,isconnect,4,81.172.60.172,OPER
2013-01-20T20:10:44.721180+00:00,sim64b[30847]:,isconnect,3,93.89.194.238,Client#6
2013-01-20T20:10:49.212343+00:00,sim64b[30847]:,onnect,4,93.89.194.238,Client#6
2013-01-20T20:31:17.512414+00:00,sim64b[30847]:,isconnect,4,93.89.194.238,Client#6
2013-01-20T20:31:22.885736+00:00,sim64b[30847]:,onnect,3,93.89.194.238,Client#6
2013-01-20T23:02:24.732173+00:00,sim64b[30847]:,isconnect,3,93.89.194.238,Client#6
2013-01-20T23:02:29.715759+00:00,sim64b[30847]:,onnect,4,81.172.60.172,Rupla
