2013-02-12T00:27:49.234551+00:00,sim64b[12044]:,isconnect,9,201.43.135.249,Client#2
2013-02-12T00:27:53.335276+00:00,sim64b[12044]:,onnect,4,84.170.151.133,Client#4
2013-02-12T02:35:19.857482+00:00,sim64b[12044]:,onnect,5,99.105.52.78,Client#5
2013-02-12T02:45:11.423354+00:00,sim64b[12044]:,isconnect,4,84.170.151.133,Client#4
2013-02-12T02:45:11.423482+00:00,sim64b[12044]:,isconnect,5,99.105.52.78,Client#5
2013-02-12T02:46:34.983957+00:00,sim64b[12044]:,onnect,4,24.116.254.163,JJL
2013-02-12T03:29:10.371485+00:00,sim64b[12044]:,isconnect,4,24.116.254.163,JJL
2013-02-12T03:29:16.145535+00:00,sim64b[12044]:,onnect,5,24.116.254.163,JJL
2013-02-12T03:44:39.348148+00:00,sim64b[12044]:,onnect,4,186.79.219.231,Client#4
2013-02-12T03:44:41.719194+00:00,sim64b[12044]:,isconnect,5,24.116.254.163,JJL
2013-02-12T07:56:41.656237+00:00,sim64b[12044]:,isconnect,4,186.79.219.231,Client#4
2013-02-12T07:56:46.531593+00:00,sim64b[12044]:,onnect,5,108.215.24.128,Leatherneck
2013-02-12T10:02:05.919406+00:00,sim64b[12044]:,onnect,4,93.58.240.70,lorenzo
2013-02-12T10:05:00.086783+00:00,sim64b[12044]:,isconnect,4,93.58.240.70,lorenzo
2013-02-12T10:05:00.086908+00:00,sim64b[12044]:,isconnect,5,108.215.24.128,Leatherneck
2013-02-12T10:43:02.252625+00:00,sim64b[12044]:,onnect,4,93.58.240.70,lorenzo
2013-02-12T11:59:09.457023+00:00,sim64b[12044]:,onnect,5,223.176.188.94,rajababa
2013-02-12T12:07:17.502582+00:00,sim64b[12044]:,isconnect,4,93.58.240.70,lorenzo
2013-02-12T12:07:17.502619+00:00,sim64b[12044]:,isconnect,5,223.176.188.94,rajababa
2013-02-12T13:22:37.310322+00:00,sim64b[12044]:,onnect,4,189.83.97.227,Gabriel
2013-02-12T13:27:06.990009+00:00,sim64b[12044]:,isconnect,4,189.83.97.227,Gabriel
2013-02-12T13:27:23.329678+00:00,sim64b[12044]:,onnect,5,189.83.97.227,Gabriel
2013-02-12T13:35:11.824603+00:00,sim64b[12044]:,onnect,4,79.45.112.185,joaquin l.
2013-02-12T13:35:12.877358+00:00,sim64b[12044]:,isconnect,5,189.83.97.227,Gabriel
2013-02-12T14:08:06.671700+00:00,sim64b[12044]:,isconnect,4,79.45.112.185,joaquin l.
2013-02-12T14:08:11.733727+00:00,sim64b[12044]:,onnect,5,81.172.60.172,Rupla
2013-02-12T15:25:35.074637+00:00,sim64b[12044]:,onnect,4,79.199.179.113,Client#4
2013-02-12T15:27:08.399779+00:00,sim64b[12044]:,isconnect,4,79.199.179.113,Client#4
2013-02-12T15:34:02.479879+00:00,sim64b[12044]:,isconnect,5,81.172.60.172,Rupla
2013-02-12T16:07:06.397297+00:00,sim64b[12044]:,onnect,4,201.80.150.41,rey
2013-02-12T16:10:05.877546+00:00,sim64b[12044]:,onnect,5,177.156.59.176,Client#6
2013-02-12T16:59:32.026120+00:00,sim64b[12044]:,onnect,6,84.57.70.214,Client#6
2013-02-12T17:15:22.591201+00:00,sim64b[12044]:,onnect,7,189.127.179.90,cidade jtn
2013-02-12T17:17:56.421346+00:00,sim64b[12044]:,onnect,8,189.127.179.90,cidade jtn
2013-02-12T18:07:23.669052+00:00,sim64b[12044]:,isconnect,4,201.80.150.41,rey
2013-02-12T18:07:23.669164+00:00,sim64b[12044]:,isconnect,5,177.156.59.176,Client#6
2013-02-12T18:07:23.669259+00:00,sim64b[12044]:,isconnect,6,84.57.70.214,Client#6
2013-02-12T18:07:23.669363+00:00,sim64b[12044]:,isconnect,7,189.127.179.90,cidade jtn
2013-02-12T18:07:23.669464+00:00,sim64b[12044]:,isconnect,8,189.127.179.90,cidade jtn
2013-02-12T19:16:29.445174+00:00,sim64b[12044]:,onnect,4,109.52.113.249,SAVIO
2013-02-12T19:22:23.325809+00:00,sim64b[12044]:,onnect,5,109.52.113.249,SAVIO
2013-02-12T20:24:31.010479+00:00,sim64b[12044]:,isconnect,4,109.52.113.249,SAVIO
2013-02-12T20:24:31.010503+00:00,sim64b[12044]:,isconnect,5,109.52.113.249,SAVIO
2013-02-12T20:24:36.011786+00:00,sim64b[12044]:,onnect,6,81.172.60.172,Rupla
2013-02-12T20:34:16.799164+00:00,sim64b[12044]:,onnect,4,177.75.72.72,alvaro
2013-02-12T20:35:18.764862+00:00,sim64b[12044]:,isconnect,6,81.172.60.172,Rupla
2013-02-12T20:36:48.045298+00:00,sim64b[12044]:,isconnect,4,177.75.72.72,alvaro
2013-02-12T20:40:02.346668+00:00,sim64b[12044]:,onnect,4,213.245.18.15,Client#4
2013-02-12T20:44:04.757082+00:00,sim64b[12044]:,onnect,5,213.245.18.15,no mot de passe
