2013-02-14T02:40:54.647041+00:00,sim64b[12044]:,isconnect,4,177.75.72.72,alvaro
2013-02-14T02:41:10.843958+00:00,sim64b[12044]:,onnect,5,180.242.14.1,15 Players
2013-02-14T03:29:27.016719+00:00,sim64b[12044]:,onnect,4,24.116.254.163,JJL
2013-02-14T04:02:40.701348+00:00,sim64b[12044]:,isconnect,4,24.116.254.163,JJL
2013-02-14T04:02:40.701373+00:00,sim64b[12044]:,isconnect,5,180.242.14.1,15 Players
2013-02-14T07:20:49.676470+00:00,sim64b[12044]:,onnect,4,217.84.215.128,Holger
2013-02-14T07:23:02.992357+00:00,sim64b[12044]:,hat,4,217.84.215.128,Holger,6,H-Trans Ltd,Hi!
2013-02-14T08:24:27.908417+00:00,sim64b[12044]:,isconnect,4,217.84.215.128,Holger
2013-02-14T08:24:34.836002+00:00,sim64b[12044]:,onnect,5,77.188.58.49,Client#5
2013-02-14T14:25:39.362409+00:00,sim64b[12044]:,onnect,4,181.29.139.129,Client#4
2013-02-14T14:26:10.167244+00:00,sim64b[12044]:,isconnect,4,181.29.139.129,Client#4
2013-02-14T14:26:10.167357+00:00,sim64b[12044]:,isconnect,5,77.188.58.49,Client#5
2013-02-14T15:45:39.169351+00:00,sim64b[12044]:,onnect,4,91.51.244.5,moni8963
2013-02-14T16:07:53.090981+00:00,sim64b[12044]:,isconnect,4,91.51.244.5,moni8963
2013-02-14T16:07:58.303800+00:00,sim64b[12044]:,onnect,5,213.245.18.15,no mot de passe
2013-02-14T16:24:08.050614+00:00,sim64b[12044]:,isconnect,5,213.245.18.15,no mot de passe
2013-02-14T16:24:13.658851+00:00,sim64b[12044]:,onnect,4,83.50.87.0,Client#4
2013-02-14T17:45:15.065355+00:00,sim64b[12044]:,isconnect,4,83.50.87.0,Client#4
2013-02-14T17:45:19.980206+00:00,sim64b[12044]:,onnect,5,217.84.215.128,Holger
2013-02-14T18:28:51.322100+00:00,sim64b[12044]:,isconnect,5,217.84.215.128,Holger
2013-02-14T18:28:56.419541+00:00,sim64b[12044]:,onnect,4,78.165.246.131,Client#4
2013-02-14T21:11:25.187318+00:00,sim64b[12044]:,onnect,5,187.158.94.237,juan XD
2013-02-14T21:14:47.197932+00:00,sim64b[12044]:,isconnect,4,78.165.246.131,Client#4
2013-02-14T21:14:47.197967+00:00,sim64b[12044]:,isconnect,5,187.158.94.237,juan XD
2013-02-14T21:14:55.434830+00:00,sim64b[12044]:,onnect,6,177.4.122.218,Dreadnought1912
2013-02-14T22:16:13.556868+00:00,sim64b[12044]:,onnect,4,177.4.122.218,Dreadnought1912
2013-02-14T22:37:34.675008+00:00,sim64b[12044]:,onnect,5,81.247.196.27,YUPI
2013-02-14T22:37:34.807417+00:00,sim64b[12044]:,isconnect,6,177.4.122.218,Dreadnought1912
2013-02-14T22:40:40.880045+00:00,sim64b[12044]:,isconnect,4,177.4.122.218,Dreadnought1912
