2013-02-16T01:56:44.999133+00:00,sim64b[12044]:,isconnect,4,177.23.179.13,Lucas
2013-02-16T01:56:56.189568+00:00,sim64b[12044]:,onnect,5,187.53.126.74,Dj Malvo o top dj
2013-02-16T01:58:31.556539+00:00,sim64b[12044]:,isconnect,5,187.53.126.74,Dj Malvo o top dj
2013-02-16T02:06:01.567527+00:00,sim64b[12044]:,onnect,4,177.3.252.40,Junior
2013-02-16T02:22:09.018592+00:00,sim64b[12044]:,isconnect,4,177.3.252.40,Junior
2013-02-16T02:22:13.685292+00:00,sim64b[12044]:,onnect,5,94.125.216.7,Client#5
2013-02-16T02:28:23.844298+00:00,sim64b[12044]:,isconnect,5,94.125.216.7,Client#5
2013-02-16T02:29:50.697916+00:00,sim64b[12044]:,onnect,4,177.3.252.40,Junior
2013-02-16T02:32:17.422823+00:00,sim64b[12044]:,isconnect,4,177.3.252.40,Junior
2013-02-16T08:34:27.054401+00:00,sim64b[12044]:,onnect,4,121.218.64.229,Client#4
2013-02-16T09:41:50.677620+00:00,sim64b[12044]:,isconnect,4,121.218.64.229,Client#4
2013-02-16T09:41:55.301116+00:00,sim64b[12044]:,onnect,5,77.253.3.248,Client#4
2013-02-16T15:16:52.188449+00:00,sim64b[12044]:,isconnect,5,77.253.3.248,Client#4
2013-02-16T15:17:07.961897+00:00,sim64b[12044]:,onnect,4,2.238.92.253,alessia
2013-02-16T16:40:34.746213+00:00,sim64b[12044]:,isconnect,4,2.238.92.253,alessia
2013-02-16T16:40:39.263301+00:00,sim64b[12044]:,onnect,5,46.249.87.42,Client#5
2013-02-16T18:02:37.076493+00:00,sim64b[12044]:,onnect,4,83.137.29.58,Client#4
2013-02-16T18:07:05.448548+00:00,sim64b[12044]:,isconnect,4,83.137.29.58,Client#4
2013-02-16T18:07:05.448674+00:00,sim64b[12044]:,isconnect,5,46.249.87.42,Client#5
2013-02-16T18:08:05.576189+00:00,sim64b[12044]:,onnect,4,83.137.29.58,Client#4
2013-02-16T20:18:48.324527+00:00,sim64b[12044]:,onnect,5,113.197.71.164,poirier101
2013-02-16T21:28:59.581351+00:00,sim64b[12044]:,isconnect,4,83.137.29.58,Client#4
2013-02-16T21:28:59.581394+00:00,sim64b[12044]:,isconnect,5,113.197.71.164,poirier101
2013-02-16T21:29:04.961439+00:00,sim64b[12044]:,onnect,6,86.62.163.235,Client#6
2013-02-16T22:07:51.782532+00:00,sim64b[12044]:,onnect,4,186.96.91.223,fer1258900
2013-02-16T23:22:40.352033+00:00,sim64b[12044]:,isconnect,4,186.96.91.223,fer1258900
2013-02-16T23:22:40.352083+00:00,sim64b[12044]:,isconnect,6,86.62.163.235,Client#6
2013-02-16T23:22:44.842780+00:00,sim64b[12044]:,onnect,5,77.253.3.248,Client#4
2013-02-16T23:38:52.005045+00:00,sim64b[12044]:,isconnect,5,77.253.3.248,Client#4
2013-02-16T23:39:18.063304+00:00,sim64b[12044]:,onnect,4,92.56.8.181,Client#4
