2013-02-19T00:35:02.978321+00:00,sim64b[12044]:,isconnect,7,95.16.215.42,elitemarginaol
2013-02-19T00:35:07.291804+00:00,sim64b[12044]:,onnect,4,77.23.167.64,Client#4
2013-02-19T03:31:31.436792+00:00,sim64b[12044]:,onnect,5,200.120.95.124,Client#5
2013-02-19T03:47:12.803335+00:00,sim64b[12044]:,isconnect,4,77.23.167.64,Client#4
2013-02-19T03:47:12.804675+00:00,sim64b[12044]:,isconnect,5,200.120.95.124,Client#5
2013-02-19T07:10:56.459817+00:00,sim64b[12044]:,onnect,4,120.144.70.203,Client#4
2013-02-19T07:11:28.106999+00:00,sim64b[12044]:,isconnect,4,120.144.70.203,Client#4
2013-02-19T10:19:39.568637+00:00,sim64b[12044]:,onnect,4,95.245.247.199,amorandin
2013-02-19T12:17:50.969714+00:00,sim64b[12044]:,isconnect,4,95.245.247.199,amorandin
2013-02-19T12:17:55.760806+00:00,sim64b[12044]:,onnect,5,86.73.53.190,Client#5
2013-02-19T15:01:13.497901+00:00,sim64b[12044]:,isconnect,5,86.73.53.190,Client#5
2013-02-19T15:01:19.767723+00:00,sim64b[12044]:,onnect,4,188.174.196.82,Client#4
2013-02-19T19:38:03.931109+00:00,sim64b[12044]:,onnect,5,188.178.170.221,POLAT
2013-02-19T19:45:41.033441+00:00,sim64b[12044]:,onnect,6,188.178.170.221,POLAT
2013-02-19T19:46:24.638683+00:00,sim64b[12044]:,isconnect,4,188.174.196.82,Client#4
2013-02-19T19:46:24.638799+00:00,sim64b[12044]:,isconnect,5,188.178.170.221,POLAT
2013-02-19T19:46:24.638915+00:00,sim64b[12044]:,isconnect,6,188.178.170.221,POLAT
2013-02-19T20:01:33.110012+00:00,sim64b[12044]:,onnect,4,188.178.170.221,polatt
2013-02-19T20:53:45.006586+00:00,sim64b[12044]:,onnect,5,87.252.129.7,Client#5
2013-02-19T23:00:57.764926+00:00,sim64b[12044]:,onnect,6,177.18.234.61,Client#6
