2013-02-28T02:50:27.173518+00:00,sim64b[12044]:,isconnect,6,81.172.60.172,Rupla
2013-02-28T02:50:33.003450+00:00,sim64b[12044]:,onnect,4,24.116.254.163,JJL
2013-02-28T07:10:50.467713+00:00,sim64b[12044]:,onnect,5,108.34.56.180,g
2013-02-28T07:12:16.595080+00:00,sim64b[12044]:,isconnect,4,24.116.254.163,JJL
2013-02-28T07:12:16.595136+00:00,sim64b[12044]:,isconnect,5,108.34.56.180,g
2013-02-28T07:12:31.313168+00:00,sim64b[12044]:,onnect,4,108.34.56.180,g
2013-02-28T07:52:56.245500+00:00,sim64b[12044]:,isconnect,4,108.34.56.180,g
2013-02-28T09:05:45.861608+00:00,sim64b[12044]:,onnect,4,122.107.228.91,Client#6
2013-02-28T12:07:05.452351+00:00,sim64b[12044]:,isconnect,4,122.107.228.91,Client#6
2013-02-28T12:07:21.756400+00:00,sim64b[12044]:,onnect,5,122.107.228.91,Client#6
2013-02-28T13:46:23.335322+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T13:55:56.540214+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T13:58:05.151696+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T14:33:48.158766+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T15:19:38.770793+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T15:28:55.968446+00:00,sim64b[29542]:,onnect,3,37.132.4.254,sergio machio
2013-02-28T15:29:39.257602+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T15:29:39.258739+00:00,sim64b[29542]:,isconnect,3,37.132.4.254,sergio machio
2013-02-28T15:29:53.097864+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T15:33:00.585563+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T15:33:27.723721+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T15:41:32.392792+00:00,sim64b[29542]:,onnect,3,37.132.4.254,sergio machio
2013-02-28T15:59:51.585191+00:00,sim64b[29542]:,onnect,4,37.132.4.254,sergio machio
2013-02-28T16:06:19.478986+00:00,sim64b[29542]:,onnect,5,188.178.170.221,polatt
2013-02-28T16:06:19.608796+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T16:06:19.608828+00:00,sim64b[29542]:,isconnect,3,37.132.4.254,sergio machio
2013-02-28T16:11:09.526608+00:00,sim64b[29542]:,isconnect,4,37.132.4.254,sergio machio
2013-02-28T16:11:56.096953+00:00,sim64b[29542]:,onnect,2,37.132.4.254,sergio machio
2013-02-28T16:13:08.342393+00:00,sim64b[29542]:,isconnect,5,188.178.170.221,polatt
2013-02-28T16:28:18.183682+00:00,sim64b[29542]:,isconnect,2,37.132.4.254,sergio machio
2013-02-28T16:29:44.388219+00:00,sim64b[29542]:,onnect,3,37.132.4.254,sergio machio
2013-02-28T17:47:46.953792+00:00,sim64b[29542]:,isconnect,3,37.132.4.254,sergio machio
2013-02-28T18:57:14.854069+00:00,sim64b[29542]:,onnect,2,62.43.47.122,nazald
2013-02-28T19:42:44.196193+00:00,sim64b[29542]:,onnect,3,188.178.170.221,polatt
